mese,indice_mese,servizio,utenti_attivi,richieste_api_milioni,dati_gb,deploy,costo_euro
2025-06,34,api-core,46116,21.5,413.7,11,2409.73
2025-07,35,api-core,45256,20.38,415.3,6,2442.09
2025-08,36,api-core,40280,19.83,422.3,6,2159.1
2025-09,37,api-core,54883,24.17,427.7,10,2535.87
2025-10,38,api-core,57086,26.32,442.2,12,2540.47
2025-11,39,api-core,64296,27.91,450.8,9,2596.63
2025-12,40,api-core,53837,23.31,451.4,3,2369.16
2026-01,41,api-core,50916,22.76,454.0,10,2545.54
2026-02,42,api-core,55026,26.53,459.6,13,2456.03
2026-03,43,api-core,59038,28.46,466.2,14,2913.74
2026-04,44,api-core,63371,27.89,476.5,10,2780.59
2026-05,45,api-core,58653,27.7,484.2,9,2484.65
2026-06,46,api-core,55789,23.15,484.7,7,2506.8
2026-07,47,api-core,55919,22.78,488.6,15,2748.24
2026-08,48,api-core,47196,20.39,485.2,2,2390.85
2022-09,1,auth,22572,4.44,40.3,6,777.42
2022-10,2,auth,20031,4.21,41.0,5,805.22
2022-11,3,auth,25956,4.93,41.2,2,674.23
2022-12,4,auth,22874,4.63,41.1,0,632.59
2023-01,5,auth,23418,4.1,41.3,9,875.02
2023-02,6,auth,24428,4.98,42.0,5,802.02
2023-03,7,auth,27314,5.48,42.3,3,640.99
2023-04,8,auth,27102,5.91,42.4,7,816.78
2023-05,9,auth,26270,4.77,42.4,1,616.23
2023-06,10,auth,29395,6.26,41.8,5,796.31
2023-07,11,auth,26625,5.56,42.1,4,722.85
2023-08,12,auth,22561,4.57,42.7,3,1307.54
2023-09,13,auth,32034,6.97,43.0,5,754.33
2023-10,14,auth,33506,6.92,43.5,7,815.41
2023-11,15,auth,35521,7.16,43.7,8,877.8
2023-12,16,auth,33603,6.78,43.6,2,695.49
2024-01,17,auth,31828,6.22,43.9,4,865.2
2024-02,18,auth,32276,6.7,44.6,5,817.39
2024-03,19,auth,38047,8.02,43.8,5,779.62
2024-04,20,auth,36121,6.59,43.8,5,789.88
2024-05,21,auth,37840,7.5,43.0,4,871.15
2024-06,22,auth,36852,7.08,44.1,1,719.36
2024-07,23,auth,35020,7.6,44.4,4,784.6
2024-08,24,auth,34014,6.04,44.6,3,748.85
2024-09,25,auth,44489,8.66,44.6,4,781.68
2024-10,26,auth,47307,9.79,45.6,3,825.1
2024-11,27,auth,46907,9.36,45.1,4,906.41
2024-12,28,auth,43632,8.04,43.9,1,743.93
2025-01,29,auth,42240,9.33,44.4,6,869.54
2025-02,30,auth,43494,9.86,44.2,6,892.95
2025-03,31,auth,48409,9.83,44.9,4,826.11
2025-04,32,auth,48071,9.53,45.2,2,822.76
2025-05,33,auth,47880,9.69,46.4,4,770.94
2025-06,34,auth,48177,10.35,47.2,0,767.74
2025-07,35,auth,43533,8.01,47.3,3,811.6
2025-08,36,auth,36995,6.87,47.9,3,847.15
2025-09,37,auth,53779,10.74,48.3,3,881.83
2025-10,38,auth,53563,10.84,48.7,9,963.38
2025-11,39,auth,63454,13.34,49.2,5,903.83
2025-12,40,auth,51729,9.24,49.5,4,820.09
2026-01,41,auth,55791,10.6,49.1,3,794.6
2026-02,42,auth,54245,11.01,48.9,1,790.39
2026-03,43,auth,54580,10.29,48.8,7,981.58
2026-04,44,auth,60888,13.08,49.0,6,884.74
2026-05,45,auth,57624,11.74,49.2,5,908.95
2026-06,46,auth,64598,13.0,49.2,5,938.53
2026-07,47,auth,51366,9.38,48.6,2,768.42
2026-08,48,auth,47532,9.62,48.9,1,747.45
2022-09,1,storage,12446,1.57,4094.3,0,1120.46
2022-10,2,storage,13873,1.52,4222.4,3,1353.19
2022-11,3,storage,15444,1.81,4341.1,5,1235.5
2022-12,4,storage,13672,1.53,4506.0,1,1130.46
2023-01,5,storage,13888,1.53,4585.1,3,1176.77
2023-02,6,storage,15291,1.83,4685.9,2,1151.98
2023-03,7,storage,15184,1.86,4818.3,2,1198.55
2023-04,8,storage,15958,2.0,4889.3,1,1159.37
2023-05,9,storage,16716,1.98,5068.9,4,1131.13
2023-06,10,storage,17676,2.37,5216.2,3,1178.05
2023-07,11,storage,16055,1.99,5309.0,2,1180.49
2023-08,12,storage,13812,1.53,5562.1,3,1266.13
2023-09,13,storage,19131,2.24,5779.8,0,1187.15
2023-10,14,storage,20875,2.35,5965.1,3,1301.13
2023-11,15,storage,21063,2.61,6075.5,3,1378.71
2023-12,16,storage,18994,2.14,6231.0,2,1330.06
2024-01,17,storage,20606,2.23,6366.1,9,1465.23
2024-02,18,storage,20096,2.42,6562.6,2,1377.61
2024-03,19,storage,22937,2.82,6809.2,1,1319.72
2024-04,20,storage,22233,2.58,6904.5,0,1332.46
2024-05,21,storage,22751,2.85,7101.4,1,1317.08
2024-06,22,storage,21741,2.66,7216.5,2,1356.27
2024-07,23,storage,22126,2.71,7510.7,5,1465.16
2024-08,24,storage,18541,2.21,7656.3,2,1422.5
2024-09,25,storage,26800,3.13,7993.6,6,1463.13
2024-10,26,storage,28494,3.65,8144.0,1,1354.5
2024-11,27,storage,30731,4.03,8520.0,5,1510.77
2024-12,28,storage,26027,3.44,8903.4,2,1364.48
2025-01,29,storage,24514,3.05,9238.4,2,1342.37
2025-02,30,storage,27739,3.7,9659.3,4,1642.56
2025-03,31,storage,29638,3.16,9999.3,2,1466.95
2025-04,32,storage,28823,3.22,10350.7,6,1675.5
2025-05,33,storage,30841,3.83,10758.6,2,1520.89
2025-06,34,storage,27880,2.99,11097.1,5,1519.22
2025-07,35,storage,27369,3.21,11519.9,4,1522.56
2025-08,36,storage,22038,2.58,11872.7,0,1408.95
2025-09,37,storage,31915,4.01,12259.2,1,1628.04
2025-10,38,storage,32921,3.91,12732.9,4,1825.73
2025-11,39,storage,38178,4.31,13080.0,4,1636.89
2025-12,40,storage,30999,3.67,13331.2,2,1692.21
2026-01,41,storage,30317,3.7,13678.9,6,1723.54
2026-02,42,storage,32075,3.66,14399.6,5,1730.31
2026-03,43,storage,34125,4.07,14937.4,3,1692.36
2026-04,44,storage,33469,3.85,15490.8,5,1907.82
2026-05,45,storage,37568,4.42,16056.6,8,1965.08
2026-06,46,storage,34348,3.83,16781.7,1,1836.24
2026-07,47,storage,30424,3.61,17042.0,5,1830.36
2026-08,48,storage,30351,3.68,17647.2,1,1962.71
2022-09,1,analytics,6888,0.39,2616.0,2,1686.35
2022-10,2,analytics,8518,0.48,2746.0,7,1817.34
2022-11,3,analytics,8409,0.53,2864.4,6,1652.11
2022-12,4,analytics,7890,0.45,2987.6,5,1634.3
2023-01,5,analytics,7908,0.49,3159.4,9,1960.66
2023-02,6,analytics,8743,0.53,3306.6,5,1722.12
2023-03,7,analytics,9701,0.54,3474.4,6,1810.13
2023-04,8,analytics,9335,0.56,3595.9,9,2090.24
2023-05,9,analytics,9373,0.54,3720.4,6,1888.81
2023-06,10,analytics,9578,0.57,3808.4,5,1746.87
2023-07,11,analytics,9429,0.54,3939.9,3,1819.34
2023-08,12,analytics,7762,0.5,4137.7,1,1827.29
2023-09,13,analytics,11446,0.73,4314.7,10,1967.24
2023-10,14,analytics,12765,0.72,4518.9,5,1735.89
2023-11,15,analytics,12361,0.76,4756.2,9,1952.34
2023-12,16,analytics,11579,0.67,4938.2,3,1858.27
2024-01,17,analytics,10750,0.65,5116.9,8,2068.81
2024-02,18,analytics,11187,0.72,5259.5,8,2113.01
2024-03,19,analytics,12606,0.71,5411.7,5,1865.62
2024-04,20,analytics,13103,0.73,5610.9,3,1915.6
2024-05,21,analytics,13889,0.83,5839.4,5,2053.41
2024-06,22,analytics,12830,0.74,6054.2,2,4126.25
2024-07,23,analytics,12637,0.75,6225.9,4,2026.05
2024-08,24,analytics,10565,0.69,6528.4,3,1921.55
2024-09,25,analytics,14006,0.74,6809.7,5,2033.99
2024-10,26,analytics,16034,0.87,7147.2,6,2317.28
2024-11,27,analytics,16736,1.01,7370.1,9,1990.14
2024-12,28,analytics,14530,0.91,7688.6,2,2061.52
2025-01,29,analytics,14191,0.88,7947.7,7,5441.26
2025-02,30,analytics,15822,1.04,8174.6,9,2295.7
2025-03,31,analytics,16236,0.99,8519.3,9,2219.05
2025-04,32,analytics,16603,1.04,8773.3,12,1901.71
2025-05,33,analytics,16764,1.03,9146.7,3,2182.96
2025-06,34,analytics,16446,0.98,9487.4,6,2074.51
2025-07,35,analytics,15661,0.98,9932.6,4,2242.97
2025-08,36,analytics,14471,0.85,10277.7,6,2200.14
2025-09,37,analytics,18032,1.11,10899.1,5,2295.28
2025-10,38,analytics,19308,1.22,11380.1,7,2297.88
2025-11,39,analytics,21142,1.36,11858.7,3,2353.11
2025-12,40,analytics,19394,1.1,12245.3,2,2303.12
2026-01,41,analytics,18293,0.99,12697.7,8,2582.61
2026-02,42,analytics,17904,1.06,13137.2,3,2184.93
2026-03,43,analytics,20607,1.22,13403.8,8,2384.71
2026-04,44,analytics,21046,1.4,14148.3,9,2680.38
2026-05,45,analytics,22497,1.25,14625.3,3,2478.86
2026-06,46,analytics,21449,1.22,15110.9,6,2412.5
2026-07,47,analytics,18879,1.12,15857.6,6,2346.57
2026-08,48,analytics,15796,1.01,16448.4,4,2615.96
2022-09,1,notifiche,17686,5.27,61.1,6,562.2
2022-10,2,notifiche,18289,5.5,62.5,2,554.08
2022-11,3,notifiche,20441,5.64,63.3,5,598.02
2022-12,4,notifiche,17712,5.54,62.9,1,460.93
2023-01,5,notifiche,17868,4.52,64.4,6,604.65
2023-02,6,notifiche,18966,6.03,65.5,1,506.07
2023-03,7,notifiche,22339,6.41,65.6,0,465.54
2023-04,8,notifiche,20257,6.23,66.9,5,631.52
2023-05,9,notifiche,22273,6.97,68.0,5,587.31
2023-06,10,notifiche,23164,6.36,68.7,3,494.98
2023-07,11,notifiche,19800,5.91,68.8,3,511.82
2023-08,12,notifiche,18733,5.55,70.0,1,487.5
2023-09,13,notifiche,24559,7.39,71.0,4,583.19
2023-10,14,notifiche,26570,7.81,71.0,4,535.52
2023-11,15,notifiche,29103,8.44,71.2,8,652.73
2023-12,16,notifiche,26092,8.14,73.3,1,488.96
2024-01,17,notifiche,25595,7.54,73.2,3,930.77
2024-02,18,notifiche,28451,7.8,73.7,0,523.14
2024-03,19,notifiche,29480,9.76,75.6,5,670.23
2024-04,20,notifiche,31323,9.0,76.5,3,645.55
2024-05,21,notifiche,29463,8.61,77.7,4,595.93
2024-06,22,notifiche,29923,9.55,78.1,3,642.95
2024-07,23,notifiche,30117,8.31,79.1,4,595.64
2024-08,24,notifiche,26086,8.1,80.1,4,546.96
2024-09,25,notifiche,33962,9.51,81.1,4,589.28
2024-10,26,notifiche,35804,11.16,82.1,1,552.34
2024-11,27,notifiche,36094,11.4,81.8,4,613.48
2024-12,28,notifiche,33932,10.08,82.0,1,525.76
2025-01,29,notifiche,32611,9.98,82.8,1,558.28
2025-02,30,notifiche,36531,9.9,84.0,5,639.23
2025-03,31,notifiche,38591,10.8,85.0,4,630.4
2025-04,32,notifiche,38281,11.86,85.4,1,638.71
2025-05,33,notifiche,38877,11.83,86.5,3,1165.36
2025-06,34,notifiche,35803,11.31,86.4,1,588.64
2025-07,35,notifiche,34523,9.85,88.3,5,663.08
2025-08,36,notifiche,30549,9.81,87.9,4,622.67
2025-09,37,notifiche,44387,13.03,88.6,6,733.98
2025-10,38,notifiche,47395,14.95,88.5,4,654.15
2025-11,39,notifiche,46698,13.6,90.8,3,674.2
2025-12,40,notifiche,39324,13.08,90.6,1,641.41
2026-01,41,notifiche,40107,12.82,91.2,7,740.75
2026-02,42,notifiche,45908,13.91,92.1,2,702.76
2026-03,43,notifiche,46570,12.37,93.6,4,698.77
2026-04,44,notifiche,44527,13.47,93.8,6,695.19
2026-05,45,notifiche,49566,14.92,93.9,1,547.41
2026-06,46,notifiche,47705,13.15,97.3,5,665.83
2026-07,47,notifiche,44620,13.96,98.0,5,694.57
2026-08,48,notifiche,37349,11.05,100.5,1,594.38
2022-09,1,frontend-web,21371,21.18,121.2,7,980.42
2022-10,2,frontend-web,22927,20.54,123.0,11,1184.35
2022-11,3,frontend-web,24336,21.4,123.0,8,1123.08
2022-12,4,frontend-web,21355,18.49,125.0,3,905.56
2023-01,5,frontend-web,23591,22.25,127.0,15,1257.72
2023-02,6,frontend-web,24324,23.4,128.7,10,1163.95
2023-03,7,frontend-web,26478,23.2,129.1,8,1082.29
2023-04,8,frontend-web,28195,24.9,129.2,8,1115.56
2023-05,9,frontend-web,26261,23.67,131.7,7,1094.26
2023-06,10,frontend-web,27798,25.08,132.8,9,1157.63
2023-07,11,frontend-web,25677,22.88,133.2,10,1134.08
2023-08,12,frontend-web,22232,19.33,131.5,7,1111.71
2023-09,13,frontend-web,31087,27.01,132.9,17,1303.93
2023-10,14,frontend-web,33956,31.33,133.4,12,1325.49
2023-11,15,frontend-web,38787,33.67,135.4,13,1336.79
2023-12,16,frontend-web,30820,27.1,136.3,7,1051.6
2024-01,17,frontend-web,32923,28.75,137.3,11,1368.1
2024-02,18,frontend-web,35947,33.45,138.4,9,1257.96
2024-03,19,frontend-web,34000,30.88,138.3,9,1208.76
2024-04,20,frontend-web,34610,32.9,139.4,11,1324.85
2024-05,21,frontend-web,42064,36.14,139.8,13,1375.7
2024-06,22,frontend-web,37606,31.35,140.3,5,1189.78
2024-07,23,frontend-web,34394,30.93,140.7,5,1126.74
2024-08,24,frontend-web,32708,31.52,141.0,4,1208.82
2024-09,25,frontend-web,41346,36.16,140.5,6,1150.44
2024-10,26,frontend-web,46031,42.97,141.2,3,1228.67
2024-11,27,frontend-web,46301,40.09,142.1,7,1233.8
2024-12,28,frontend-web,42101,38.41,146.5,0,1153.55
2025-01,29,frontend-web,44497,40.43,149.3,8,1328.07
2025-02,30,frontend-web,42073,38.1,150.2,12,1363.84
2025-03,31,frontend-web,53636,47.11,152.7,7,1358.37
2025-04,32,frontend-web,45916,42.79,153.7,7,1261.29
2025-05,33,frontend-web,51279,48.41,153.1,12,1613.34
2025-06,34,frontend-web,49311,41.17,154.2,8,1378.13
2025-07,35,frontend-web,43249,42.85,154.7,4,1331.69
2025-08,36,frontend-web,41995,35.91,155.7,8,1328.56
2025-09,37,frontend-web,52791,53.13,157.3,10,1525.28
2025-10,38,frontend-web,61515,58.43,157.1,11,1578.28
2025-11,39,frontend-web,58037,56.74,161.6,10,1354.04
2025-12,40,frontend-web,52997,43.87,164.3,6,1388.21
2026-01,41,frontend-web,53297,45.71,165.9,16,1564.75
2026-02,42,frontend-web,54151,49.83,166.4,5,1318.01
2026-03,43,frontend-web,60931,59.23,167.2,10,1506.28
2026-04,44,frontend-web,56396,53.44,170.1,12,1416.51
2026-05,45,frontend-web,61579,56.6,169.8,6,1443.34
2026-06,46,frontend-web,58433,53.86,170.2,12,1685.37
2026-07,47,frontend-web,52251,52.56,173.3,11,1515.62
2026-08,48,frontend-web,49730,45.23,177.9,2,1276.91
