id_ticket,priorita,componente,tipo,lunghezza_descrizione,commenti_24h,carico_assegnatario,esperienza_assegnatario_mesi,allegati,ore_risoluzione
T-00070,Media,Database,Bug,829,1,7,113,0,64.4
T-00071,Bassa,Frontend,Bug,596,0,4,9,1,92.9
T-00072,Media,API,Domanda,497,1,7,35,1,19.5
T-00073,Alta,API,Richiesta,2573,2,5,47,1,31.0
T-00074,Bassa,Infrastruttura,Richiesta,368,1,5,82,0,77.1
T-00075,Bassa,Backend,Domanda,717,2,4,52,1,30.0
T-00076,Bassa,Backend,Domanda,383,1,5,69,1,31.6
T-00077,Bassa,Mobile,Bug,1752,1,9,38,1,165.9
T-00078,Media,Infrastruttura,Richiesta,1021,3,16,16,0,119.0
T-00079,Media,Documentazione,Richiesta,399,1,6,8,0,28.0
T-00080,Alta,Infrastruttura,Bug,816,0,3,56,0,18.6
T-00081,Media,Infrastruttura,Bug,700,1,7,22,0,36.7
T-00082,Media,Frontend,Bug,440,0,8,3,0,43.3
T-00083,Alta,Frontend,Richiesta,946,5,3,24,0,43.2
T-00084,Bassa,Frontend,Richiesta,758,1,6,31,1,105.3
T-00085,Bassa,API,Richiesta,683,3,6,76,0,173.4
T-00086,Bassa,Documentazione,Bug,585,1,5,26,1,33.3
T-00087,Alta,Frontend,Bug,777,2,6,31,0,20.4
T-00088,Media,API,Bug,689,3,8,31,1,27.6
T-00089,Bassa,Frontend,Bug,622,1,8,61,0,48.5
T-00090,Media,Backend,Domanda,408,0,6,17,0,9.7
T-00091,Bassa,Backend,Domanda,1658,1,6,42,0,16.6
T-00092,Media,Backend,Domanda,319,1,7,20,0,8.9
T-00093,Media,Documentazione,Domanda,776,0,10,75,0,9.7
T-00094,Media,Frontend,Domanda,495,1,7,87,1,8.7
T-00095,Media,Infrastruttura,Bug,1724,2,11,35,1,82.9
T-00096,Media,API,Bug,349,1,6,40,0,38.9
T-00097,Media,Backend,Bug,386,1,4,26,1,18.4
T-00098,Bassa,Backend,Bug,335,4,10,5,0,68.4
T-00099,Bassa,Infrastruttura,Bug,729,5,4,31,0,110.6
T-00100,Critica,Frontend,Bug,263,7,8,29,0,11.0
T-00101,Alta,Documentazione,Domanda,450,2,4,23,0,4.9
T-00102,Media,Backend,Bug,165,2,3,26,0,23.6
T-00103,Bassa,API,Domanda,693,1,10,43,1,25.8
T-00104,Critica,Infrastruttura,Richiesta,444,8,3,40,0,14.8
T-00105,Alta,Backend,Richiesta,246,3,2,26,1,48.8
T-00106,Alta,Frontend,Richiesta,1151,4,9,79,0,32.0
T-00107,Media,Documentazione,Bug,274,1,7,4,0,18.5
T-00108,Bassa,Frontend,Richiesta,968,3,4,18,0,105.5
T-00109,Bassa,Frontend,Bug,394,1,5,56,0,45.4
T-00110,Alta,Frontend,Domanda,1568,2,7,6,0,12.3
T-00111,Media,Frontend,Bug,941,4,7,4,1,37.2
T-00112,Bassa,Mobile,Bug,328,3,7,17,1,57.6
T-00113,Media,Mobile,Richiesta,346,4,5,30,0,72.6
T-00114,Media,Frontend,Richiesta,863,1,6,21,0,24.4
T-00115,Bassa,Infrastruttura,Bug,513,2,5,36,0,105.8
T-00116,Alta,Backend,Richiesta,542,4,8,4,0,28.6
T-00117,Alta,Backend,Bug,1287,3,7,16,1,13.2
T-00118,Alta,API,Richiesta,383,3,8,50,0,17.6
T-00119,Media,Documentazione,Bug,634,2,6,42,1,20.1
T-00120,Media,Backend,Bug,1064,0,10,19,1,73.4
T-00121,Media,Backend,Bug,975,2,11,34,0,76.1
T-00122,Media,Database,Bug,545,3,4,29,1,71.1
T-00123,Bassa,Infrastruttura,Bug,505,1,8,30,1,59.2
T-00124,Media,Backend,Bug,211,2,6,38,0,184.6
T-00125,Bassa,Frontend,Bug,318,1,4,90,1,53.6
T-00126,Media,Mobile,Bug,726,0,6,91,0,43.0
T-00127,Media,Frontend,Bug,552,1,6,6,1,51.5
T-00128,Bassa,Backend,Bug,628,0,9,25,1,39.9
T-00129,Bassa,Backend,Richiesta,1119,3,7,11,1,84.4
T-00130,Media,Frontend,Domanda,294,2,8,40,1,23.6
T-00131,Bassa,Database,Bug,521,0,9,26,1,111.7
T-00132,Critica,Infrastruttura,Domanda,672,0,8,63,0,23.4
T-00133,Media,API,Bug,393,1,12,31,1,29.0
T-00134,Media,API,Bug,1416,2,7,82,1,85.8
T-00135,Media,Documentazione,Richiesta,1035,1,10,94,1,27.7
T-00136,Bassa,Frontend,Richiesta,714,0,9,80,1,148.2
T-00137,Critica,Frontend,Richiesta,1761,6,6,3,0,16.3
T-00138,Media,Documentazione,Bug,244,2,5,38,0,14.8
T-00139,Alta,Backend,Richiesta,597,3,9,23,1,54.3
T-00140,Bassa,Mobile,Bug,747,0,5,26,1,67.7
T-00141,Media,Mobile,Bug,347,0,8,56,1,65.3
T-00142,Media,Backend,Bug,719,1,13,25,0,54.5
T-00143,Critica,Database,Domanda,309,3,6,32,0,25.6
T-00144,Media,Backend,Bug,908,2,10,34,0,15.5
T-00145,Media,Backend,Richiesta,1132,1,6,4,0,68.0
T-00146,Bassa,Database,Richiesta,707,3,6,22,1,264.5
T-00147,Media,Frontend,Richiesta,197,2,2,66,0,35.8
T-00148,Media,Mobile,Richiesta,336,0,6,3,0,102.1
T-00149,Media,Documentazione,Domanda,842,2,4,46,0,7.2
T-00150,Bassa,Infrastruttura,Bug,608,2,7,14,1,252.5
T-00151,Alta,Frontend,Bug,119,4,8,23,0,14.5
T-00152,Alta,Frontend,Richiesta,1265,4,14,53,0,30.7
T-00153,Bassa,Frontend,Bug,651,1,6,11,0,93.0
T-00154,Media,Backend,Bug,367,2,7,24,0,55.1
T-00155,Bassa,Documentazione,Bug,1090,4,3,6,0,41.3
T-00156,Media,Frontend,Bug,400,2,8,42,1,28.5
T-00157,Bassa,Backend,Bug,397,0,10,16,0,95.0
T-00158,Media,Infrastruttura,Bug,744,2,6,8,0,123.7
T-00159,Alta,Frontend,Domanda,1747,7,11,31,0,11.6
T-00160,Alta,Backend,Bug,1589,1,4,6,0,68.8
T-00161,Bassa,Backend,Domanda,745,2,3,22,0,18.0
T-00162,Alta,API,Domanda,792,3,5,15,1,7.0
T-00163,Bassa,Mobile,Bug,965,1,9,36,0,67.7
T-00164,Bassa,Backend,Richiesta,282,1,4,37,0,28.6
T-00165,Media,Documentazione,Richiesta,883,2,5,17,1,81.9
T-00166,Media,Infrastruttura,Richiesta,386,2,6,80,1,47.0
T-00167,Alta,Infrastruttura,Bug,726,1,11,64,0,29.1
T-00168,Alta,Backend,Bug,523,3,13,13,0,12.9
T-00169,Media,Backend,Bug,811,0,13,128,1,72.7
T-00170,Critica,Infrastruttura,Richiesta,644,5,6,51,0,21.5
T-00171,Bassa,Frontend,Domanda,95,2,7,39,1,13.1
T-00172,Media,API,Richiesta,668,0,9,41,1,67.8
T-00173,Bassa,Mobile,Richiesta,882,0,6,10,0,184.2
T-00174,Critica,Backend,Domanda,784,3,7,71,0,3.7
T-00175,Bassa,Mobile,Richiesta,564,1,4,4,1,49.8
T-00176,Bassa,Documentazione,Bug,1607,2,6,41,0,21.8
T-00177,Media,Mobile,Domanda,723,0,7,64,0,10.0
T-00178,Critica,Frontend,Bug,780,3,5,14,0,12.5
T-00179,Alta,Infrastruttura,Bug,1123,5,8,53,0,50.1
T-00180,Alta,Database,Bug,746,2,7,33,1,73.2
T-00181,Alta,Mobile,Domanda,350,4,4,56,1,3.3
T-00182,Alta,Infrastruttura,Bug,139,2,8,62,0,29.8
T-00183,Media,Mobile,Bug,451,2,10,85,0,29.1
T-00184,Media,Frontend,Bug,947,1,7,73,1,141.0
T-00185,Alta,Backend,Bug,485,2,6,5,0,43.6
T-00186,Media,Backend,Bug,970,3,6,13,1,103.3
T-00187,Media,Database,Richiesta,656,3,8,44,0,115.9
T-00188,Bassa,Database,Domanda,1300,2,8,63,0,49.8
T-00189,Alta,API,Bug,503,7,5,12,1,14.2
T-00190,Bassa,Frontend,Bug,794,1,10,50,0,53.1
T-00191,Critica,Mobile,Bug,813,2,7,77,0,9.2
T-00192,Bassa,Documentazione,Bug,1477,3,6,61,0,43.8
T-00193,Bassa,Backend,Richiesta,215,4,6,50,0,122.2
T-00194,Alta,Mobile,Richiesta,456,2,7,29,0,30.9
T-00195,Bassa,API,Richiesta,998,1,7,28,0,83.8
T-00196,Bassa,Database,Bug,1517,0,6,115,1,51.2
T-00197,Media,Backend,Richiesta,693,1,9,20,0,85.2
T-00198,Alta,Mobile,Bug,503,3,12,13,0,55.5
T-00199,Bassa,Documentazione,Bug,945,0,5,8,1,82.1
T-00200,Media,Mobile,Domanda,1010,0,7,47,1,43.6
T-00201,Alta,Documentazione,Richiesta,484,3,5,43,0,16.2
T-00202,Critica,Documentazione,Domanda,732,5,5,31,1,2.4
T-00203,Media,Frontend,Domanda,1218,1,10,43,0,34.0
T-00204,Bassa,API,Richiesta,1865,0,10,56,0,90.8
T-00205,Bassa,Database,Domanda,937,1,2,26,0,28.9
T-00206,Bassa,Documentazione,Bug,616,3,4,45,0,55.6
T-00207,Bassa,Backend,Bug,581,2,4,24,0,36.1
T-00208,Media,Frontend,Bug,838,3,10,46,0,37.5
T-00209,Bassa,Infrastruttura,Bug,560,0,6,77,0,116.6
T-00210,Media,Frontend,Bug,672,2,8,60,1,37.6
T-00211,Media,Mobile,Bug,318,0,7,96,1,60.5
T-00212,Media,Frontend,Richiesta,1307,1,7,20,1,151.1
T-00213,Bassa,Documentazione,Richiesta,303,1,13,16,1,88.0
T-00214,Alta,Infrastruttura,Richiesta,463,1,5,42,1,93.5
T-00215,Alta,Frontend,Bug,636,0,3,21,0,12.7
T-00216,Alta,Mobile,Richiesta,1981,6,4,48,0,30.6
T-00217,Bassa,Frontend,Bug,466,2,7,36,0,154.0
T-00218,Bassa,API,Bug,402,2,4,13,0,127.1
T-00219,Critica,API,Bug,431,7,6,43,0,4.4
T-00220,Media,Infrastruttura,Bug,1623,2,8,14,0,86.1
T-00221,Media,Backend,Bug,111,1,9,81,0,26.8
T-00222,Media,Backend,Richiesta,329,1,7,26,0,67.5
T-00223,Media,Mobile,Richiesta,3089,2,7,16,1,207.1
T-00224,Critica,API,Richiesta,855,9,9,37,0,33.7
T-00225,Bassa,Database,Bug,309,1,8,40,0,86.6
T-00226,Critica,Backend,Richiesta,585,4,5,20,0,27.6
T-00227,Bassa,Frontend,Richiesta,625,1,6,19,0,121.9
T-00228,Media,Infrastruttura,Bug,997,2,8,6,1,86.7
T-00229,Media,Backend,Richiesta,1809,2,7,58,0,33.1
T-00230,Bassa,Frontend,Bug,758,2,9,79,0,86.7
T-00231,Bassa,Documentazione,Bug,434,2,8,64,1,41.1
T-00232,Media,Backend,Bug,962,0,6,16,0,61.1
T-00233,Critica,Mobile,Bug,395,9,2,43,0,4.1
T-00234,Media,Frontend,Bug,323,1,6,37,0,69.4
T-00235,Critica,Infrastruttura,Bug,209,3,8,8,0,17.9
T-00236,Alta,Mobile,Bug,235,5,6,19,0,10.1
T-00237,Media,Infrastruttura,Domanda,350,1,5,40,0,10.8
T-00238,Alta,Backend,Bug,296,1,12,3,0,40.5
T-00239,Bassa,Database,Bug,724,2,6,11,0,138.7
T-00240,Bassa,Mobile,Bug,292,1,6,53,0,46.0
T-00241,Alta,Backend,Domanda,91,1,6,15,0,7.7
T-00242,Alta,Backend,Richiesta,321,1,7,8,0,47.1
T-00243,Bassa,Backend,Domanda,452,2,5,62,0,21.2
T-00244,Media,Documentazione,Bug,417,1,8,15,0,15.9
T-00245,Media,Mobile,Bug,1493,1,10,53,0,96.3
T-00246,Alta,API,Richiesta,415,2,5,94,0,31.1
T-00247,Media,Mobile,Bug,1018,3,5,11,1,66.2
T-00248,Media,Database,Richiesta,593,0,4,27,1,62.8
T-00249,Media,Database,Domanda,585,3,11,38,0,13.7
T-00250,Media,Frontend,Bug,363,3,6,61,1,27.3
T-00251,Media,API,Domanda,579,1,9,19,0,28.2
T-00252,Alta,Backend,Richiesta,379,5,6,1,0,44.7
T-00253,Media,Infrastruttura,Bug,664,1,5,11,0,83.4
T-00254,Bassa,Infrastruttura,Bug,521,2,7,23,0,81.4
T-00255,Bassa,Frontend,Bug,340,1,6,53,1,35.0
T-00256,Alta,API,Richiesta,1088,6,4,27,0,26.4
T-00257,Alta,Backend,Bug,775,4,6,51,0,19.3
T-00258,Bassa,Documentazione,Bug,459,1,9,22,1,69.0
T-00259,Bassa,Documentazione,Richiesta,655,1,6,35,0,41.0
T-00260,Media,Documentazione,Bug,571,2,8,56,0,15.7
T-00261,Bassa,Frontend,Bug,357,3,8,67,0,107.6
T-00262,Alta,Backend,Richiesta,626,4,9,108,1,56.6
T-00263,Media,Backend,Bug,413,1,7,39,0,25.2
T-00264,Bassa,Backend,Bug,340,1,6,4,1,139.4
T-00265,Critica,Backend,Bug,227,6,13,44,0,6.4
T-00266,Bassa,Backend,Bug,484,0,10,4,1,83.9
T-00267,Bassa,Documentazione,Bug,843,2,5,48,1,29.4
T-00268,Bassa,Backend,Richiesta,395,3,13,34,1,120.8
T-00269,Bassa,Backend,Domanda,2723,1,7,64,0,47.9
T-00270,Bassa,Infrastruttura,Bug,1021,2,5,22,0,112.5
T-00271,Bassa,API,Domanda,1312,0,7,35,1,49.8
T-00272,Bassa,Mobile,Richiesta,967,6,6,44,0,73.5
T-00273,Bassa,API,Richiesta,1824,1,8,2,1,205.8
T-00274,Media,Infrastruttura,Richiesta,374,0,6,43,1,93.7
T-00275,Media,API,Richiesta,129,1,8,16,0,24.6
T-00276,Media,Database,Richiesta,459,4,5,40,0,75.6
T-00277,Media,Mobile,Bug,839,0,4,3,0,54.3
T-00278,Media,Frontend,Bug,657,1,5,49,1,24.9
T-00279,Alta,Frontend,Bug,708,2,12,46,0,20.7
T-00280,Alta,Database,Bug,1325,2,8,62,0,30.9
T-00281,Bassa,Backend,Richiesta,755,1,6,6,1,117.1
T-00282,Bassa,Mobile,Bug,969,1,7,106,0,143.6
T-00283,Bassa,Frontend,Bug,341,0,3,9,0,127.1
T-00284,Bassa,Backend,Bug,311,3,7,35,0,15.4
T-00285,Media,Backend,Bug,1580,1,10,23,0,80.9
T-00286,Media,Infrastruttura,Richiesta,637,1,6,28,0,143.6
T-00287,Bassa,Frontend,Richiesta,413,0,6,96,1,64.2
T-00288,Media,API,Bug,413,1,9,11,1,73.9
T-00289,Media,Infrastruttura,Bug,406,0,5,86,1,103.7
T-00290,Bassa,Backend,Bug,392,0,6,54,1,35.0
T-00291,Alta,Mobile,Bug,278,6,4,30,0,15.3
T-00292,Bassa,Frontend,Richiesta,244,3,8,30,0,162.9
T-00293,Critica,Backend,Richiesta,534,2,8,46,0,11.0
T-00294,Bassa,API,Bug,420,0,6,22,1,67.6
T-00295,Alta,Documentazione,Bug,1166,1,6,26,0,11.6
T-00296,Alta,Frontend,Domanda,715,5,8,35,1,12.7
T-00297,Critica,API,Richiesta,704,12,7,80,0,15.3
T-00298,Alta,Frontend,Bug,384,5,7,28,1,17.8
T-00299,Alta,API,Bug,558,2,5,5,0,22.2
T-00300,Media,API,Bug,745,2,5,36,1,18.2
T-00301,Alta,API,Domanda,922,5,8,29,0,16.6
T-00302,Bassa,API,Bug,567,3,7,18,0,52.9
T-00303,Media,Backend,Bug,1146,1,5,40,1,45.2
T-00304,Media,API,Domanda,603,2,9,18,0,27.5
T-00305,Alta,API,Richiesta,965,8,5,27,1,29.0
T-00306,Media,API,Bug,447,2,5,35,1,54.6
T-00307,Media,Backend,Bug,202,1,6,38,1,43.4
T-00308,Media,Frontend,Bug,705,2,11,43,0,45.2
T-00309,Bassa,Frontend,Richiesta,927,0,9,47,0,127.5
T-00310,Bassa,Backend,Bug,847,2,7,34,0,43.3
T-00311,Media,Backend,Domanda,773,2,8,6,0,18.5
T-00312,Media,Frontend,Domanda,487,3,8,39,0,20.2
T-00313,Bassa,Mobile,Bug,370,2,4,61,1,36.6
T-00314,Media,Backend,Richiesta,835,0,9,5,1,72.2
T-00315,Media,Infrastruttura,Bug,775,1,9,7,0,55.7
T-00316,Media,Database,Bug,429,4,6,16,1,54.7
T-00317,Media,Mobile,Richiesta,1167,2,8,58,0,138.3
T-00318,Media,Database,Bug,353,1,7,15,0,71.1
T-00319,Bassa,Database,Bug,423,0,6,59,0,30.8
T-00320,Critica,API,Bug,1602,2,6,37,1,22.3
T-00321,Alta,Documentazione,Bug,1010,8,7,19,1,8.8
T-00322,Media,Database,Bug,484,4,6,168,0,32.6
T-00323,Media,Database,Richiesta,713,1,11,9,0,116.2
T-00324,Media,API,Richiesta,658,0,10,32,0,51.7
T-00325,Alta,Mobile,Richiesta,116,1,7,13,0,28.2
T-00326,Media,Backend,Richiesta,348,1,4,40,0,37.9
T-00327,Alta,Database,Bug,582,4,5,14,1,35.4
T-00328,Media,Database,Richiesta,484,0,4,21,1,59.7
T-00329,Media,Documentazione,Bug,696,3,8,16,0,13.2
T-00330,Bassa,Database,Bug,1182,1,8,25,1,194.4
T-00331,Alta,Database,Domanda,495,3,6,61,1,18.0
T-00332,Bassa,Documentazione,Bug,318,1,9,8,0,47.5
T-00333,Media,Database,Bug,729,1,6,15,1,52.3
T-00334,Alta,Backend,Bug,493,1,3,22,0,14.4
T-00335,Bassa,Backend,Bug,546,1,12,26,0,66.7
T-00336,Media,Backend,Bug,504,4,9,76,0,46.8
T-00337,Bassa,Backend,Bug,2303,0,5,16,1,77.1
T-00338,Alta,Frontend,Domanda,156,4,9,59,0,7.4
T-00339,Bassa,Mobile,Bug,475,1,3,83,0,65.1
T-00340,Critica,Mobile,Bug,599,4,6,27,0,22.0
T-00341,Bassa,Backend,Bug,375,2,9,12,0,114.1
T-00342,Critica,API,Richiesta,1029,3,7,69,0,22.5
T-00343,Alta,Backend,Bug,977,1,7,55,0,13.1
T-00344,Media,Documentazione,Bug,583,2,4,11,1,26.9
T-00345,Alta,Backend,Bug,510,4,10,92,0,19.1
T-00346,Alta,API,Richiesta,561,4,5,17,0,23.5
T-00347,Critica,Frontend,Richiesta,563,8,6,27,1,23.0
T-00348,Bassa,API,Richiesta,572,1,7,49,1,95.8
T-00349,Media,Frontend,Richiesta,536,0,5,84,0,32.3
T-00350,Bassa,Mobile,Bug,698,1,7,38,0,130.5
T-00351,Media,Backend,Bug,943,4,3,25,0,27.8
T-00352,Bassa,Documentazione,Bug,287,1,8,22,0,24.7
T-00353,Media,Database,Bug,319,1,5,25,1,31.3
T-00354,Media,Mobile,Bug,210,1,10,127,0,19.7
T-00355,Media,Infrastruttura,Bug,1009,1,10,43,0,57.8
T-00356,Media,Documentazione,Bug,697,1,7,35,0,28.7
T-00357,Alta,Backend,Richiesta,812,3,8,56,0,21.4
T-00358,Alta,Frontend,Bug,254,7,4,26,0,4.5
T-00359,Media,Frontend,Richiesta,1751,1,9,81,1,81.2
T-00360,Media,Frontend,Richiesta,416,1,4,45,0,30.3
T-00361,Critica,API,Bug,664,8,5,24,0,8.4
T-00362,Bassa,Documentazione,Bug,1002,1,6,20,1,78.8
T-00363,Bassa,Documentazione,Richiesta,332,1,9,6,0,57.8
T-00364,Bassa,Database,Richiesta,432,1,8,61,0,1078.4
T-00365,Media,API,Bug,668,1,13,8,0,59.5
T-00366,Media,Infrastruttura,Bug,3332,0,11,78,0,165.5
T-00367,Alta,Documentazione,Richiesta,719,3,7,15,0,14.4
T-00368,Media,Backend,Richiesta,1573,2,7,16,0,85.1
T-00369,Media,Database,Bug,1237,3,5,106,1,30.8
T-00370,Alta,Infrastruttura,Bug,748,7,6,57,1,18.0
T-00371,Alta,Frontend,Domanda,331,2,6,34,0,5.8
T-00372,Bassa,Frontend,Bug,1133,3,5,100,0,23.6
T-00373,Media,Documentazione,Domanda,244,1,3,29,1,6.7
T-00374,Media,Documentazione,Bug,1568,1,13,21,0,33.1
T-00375,Bassa,Documentazione,Bug,677,2,4,36,0,32.2
T-00376,Bassa,Mobile,Bug,122,2,7,64,1,26.4
T-00377,Critica,Frontend,Bug,489,5,4,10,0,11.6
T-00378,Media,Frontend,Domanda,888,2,10,16,1,43.9
T-00379,Media,Database,Bug,520,1,4,13,0,103.7
T-00380,Alta,API,Domanda,921,2,8,11,1,29.3
T-00381,Media,Database,Bug,360,1,6,27,0,51.6
T-00382,Critica,API,Domanda,274,8,6,11,0,2.6
T-00383,Alta,Frontend,Domanda,575,1,6,5,0,11.0
T-00384,Media,Mobile,Richiesta,611,3,6,16,1,62.7
T-00385,Media,Frontend,Bug,487,0,10,15,0,20.6
T-00386,Critica,Frontend,Richiesta,1253,7,10,43,0,24.3
T-00387,Alta,Backend,Bug,360,3,6,60,1,16.3
T-00388,Critica,Backend,Domanda,724,3,5,18,0,2.6
T-00389,Bassa,Infrastruttura,Bug,625,1,7,16,0,90.7
T-00390,Alta,Frontend,Bug,236,0,7,102,0,12.1
T-00391,Media,Backend,Bug,272,1,5,58,1,31.5
T-00392,Bassa,Mobile,Richiesta,604,2,5,40,0,97.3
T-00393,Media,API,Domanda,1970,0,9,24,0,48.6
T-00394,Media,Backend,Bug,849,2,6,57,1,23.2
T-00395,Bassa,Frontend,Richiesta,213,2,9,12,0,73.1
T-00396,Media,Backend,Domanda,93,2,6,59,0,5.8
T-00397,Alta,API,Bug,931,5,5,45,0,31.1
T-00398,Bassa,Frontend,Bug,566,3,8,51,0,39.7
T-00399,Media,Backend,Richiesta,1190,3,7,34,0,56.8
T-00400,Media,Backend,Richiesta,354,3,4,9,0,74.7
T-00401,Media,API,Bug,740,3,7,12,0,73.9
T-00402,Alta,Backend,Richiesta,997,1,8,47,1,89.3
T-00403,Alta,Infrastruttura,Bug,459,6,6,43,0,11.2
T-00404,Bassa,Backend,Domanda,465,1,4,20,0,29.7
T-00405,Critica,API,Domanda,609,6,8,20,0,5.0
T-00406,Alta,Frontend,Richiesta,831,1,7,70,1,31.7
T-00407,Bassa,Frontend,Bug,595,3,7,31,1,60.7
T-00408,Alta,Backend,Bug,1076,2,10,15,1,66.0
T-00409,Bassa,Infrastruttura,Bug,455,1,8,78,1,152.3
T-00410,Critica,Infrastruttura,Bug,270,4,8,73,1,121.4
T-00411,Media,Backend,Richiesta,1965,3,4,31,1,79.4
T-00412,Media,Backend,Bug,417,2,5,36,0,90.0
T-00413,Bassa,Documentazione,Bug,427,1,7,58,0,24.4
T-00414,Alta,Database,Bug,577,2,5,49,0,13.2
T-00415,Bassa,Backend,Bug,625,1,8,8,0,73.2
T-00416,Bassa,Backend,Bug,476,2,6,80,0,50.5
T-00417,Bassa,API,Richiesta,594,0,2,7,0,164.8
T-00418,Alta,Mobile,Richiesta,586,4,6,43,0,24.5
T-00419,Bassa,API,Bug,666,0,8,10,1,115.6
T-00420,Alta,Documentazione,Domanda,146,5,6,49,0,1.2
T-00421,Media,Database,Domanda,1855,1,8,17,0,57.1
T-00422,Bassa,Frontend,Bug,549,0,11,18,1,91.7
T-00423,Bassa,Database,Richiesta,850,2,4,56,0,104.9
T-00424,Bassa,Frontend,Bug,262,3,4,10,0,106.1
T-00425,Media,Backend,Bug,452,0,6,20,0,67.6
T-00426,Alta,Backend,Bug,401,4,5,11,0,11.5
T-00427,Bassa,Frontend,Bug,1449,1,4,34,1,67.2
