id_story,team,sprint,story_point,tipo,seniority_sviluppatore,criteri_accettazione,dipendenze_esterne,ore_effettive
US-0093,Gamma,12,2,Feature,Senior,5,0,6.0
US-0094,Beta,16,3,Bug,Senior,1,0,19.0
US-0095,Beta,6,5,Bug,Mid,2,1,65.5
US-0096,Beta,7,5,Bug,Mid,4,0,43.0
US-0097,Gamma,7,3,Bug,Mid,2,0,15.0
US-0098,Alpha,21,3,Feature,Junior,3,0,11.0
US-0099,Alpha,15,5,Bug,Mid,5,0,34.5
US-0100,Gamma,24,3,Spike,Mid,1,0,12.5
US-0101,Gamma,7,3,Feature,Junior,3,0,12.0
US-0102,Alpha,11,2,Debito tecnico,Mid,1,1,11.5
US-0103,Gamma,11,8,Feature,Junior,7,1,117.5
US-0104,Beta,24,3,Feature,Junior,2,1,35.0
US-0105,Delta,16,3,Feature,Mid,3,0,22.0
US-0106,Gamma,12,5,Debito tecnico,Senior,4,0,14.0
US-0107,Beta,14,3,Feature,Senior,1,0,25.5
US-0108,Delta,1,3,Bug,Junior,1,0,18.0
US-0109,Gamma,9,3,Feature,Mid,3,0,11.5
US-0110,Alpha,22,1,Feature,Mid,2,0,4.5
US-0111,Gamma,7,8,Spike,Mid,6,0,51.0
US-0112,Gamma,9,1,Feature,Junior,1,0,5.5
US-0113,Delta,10,13,Feature,Mid,6,0,40.5
US-0114,Alpha,2,13,Feature,Mid,7,0,82.5
US-0115,Delta,12,8,Feature,Mid,7,1,73.0
US-0116,Beta,5,1,Bug,Junior,1,0,8.0
US-0117,Gamma,17,1,Feature,Mid,1,0,2.5
US-0118,Alpha,18,3,Bug,Junior,1,0,20.5
US-0119,Alpha,11,2,Feature,Mid,1,0,8.0
US-0120,Delta,6,13,Debito tecnico,Senior,12,0,96.0
US-0121,Gamma,19,5,Feature,Junior,6,1,56.0
US-0122,Beta,18,8,Feature,Mid,10,1,103.0
US-0123,Alpha,8,13,Debito tecnico,Mid,7,1,122.0
US-0124,Delta,20,8,Feature,Mid,9,0,99.5
US-0125,Alpha,13,1,Feature,Mid,3,0,5.5
US-0126,Alpha,22,13,Debito tecnico,Mid,7,1,35.5
US-0127,Alpha,17,1,Spike,Mid,5,0,6.5
US-0128,Gamma,22,5,Feature,Mid,1,0,25.0
US-0129,Beta,7,5,Debito tecnico,Junior,1,0,39.0
US-0130,Gamma,5,2,Debito tecnico,Junior,4,1,11.0
US-0131,Alpha,19,3,Spike,Senior,7,0,13.5
US-0132,Gamma,14,5,Debito tecnico,Mid,3,0,11.0
US-0133,Delta,19,3,Feature,Mid,4,0,22.5
US-0134,Delta,22,5,Spike,Mid,5,0,55.0
US-0135,Delta,9,1,Feature,Mid,1,0,4.5
US-0136,Delta,6,3,Feature,Mid,3,0,21.5
US-0137,Delta,5,5,Feature,Junior,7,0,65.0
US-0138,Delta,24,1,Feature,Senior,1,0,2.5
US-0139,Delta,14,5,Feature,Senior,6,0,30.0
US-0140,Alpha,18,3,Feature,Senior,1,0,10.5
US-0141,Alpha,23,8,Debito tecnico,Junior,7,1,93.5
US-0142,Delta,23,13,Bug,Mid,3,1,149.0
US-0143,Beta,24,5,Feature,Senior,2,0,35.5
US-0144,Delta,8,3,Debito tecnico,Senior,1,0,8.5
US-0145,Gamma,17,3,Spike,Junior,1,0,27.0
US-0146,Beta,5,3,Feature,Junior,1,1,30.0
US-0147,Gamma,12,5,Feature,Mid,5,0,22.0
US-0148,Beta,23,2,Spike,Junior,3,0,15.5
US-0149,Alpha,7,2,Bug,Junior,3,0,14.0
US-0150,Beta,7,3,Feature,Mid,5,0,22.0
US-0151,Gamma,14,2,Feature,Junior,2,0,9.5
US-0152,Gamma,22,5,Spike,Mid,4,0,23.5
US-0153,Beta,16,2,Bug,Mid,1,0,10.5
US-0154,Alpha,5,3,Debito tecnico,Junior,1,1,26.0
US-0155,Alpha,24,2,Bug,Senior,3,0,6.0
US-0156,Alpha,9,3,Feature,Mid,2,0,17.5
US-0157,Gamma,11,2,Debito tecnico,Senior,3,1,10.0
US-0158,Beta,16,5,Feature,Junior,3,0,92.5
US-0159,Gamma,17,5,Debito tecnico,Mid,2,0,14.0
US-0160,Gamma,22,5,Feature,Mid,2,0,24.5
US-0161,Delta,6,2,Debito tecnico,Senior,5,0,7.5
US-0162,Alpha,12,3,Bug,Junior,4,0,32.0
US-0163,Delta,8,3,Feature,Mid,2,0,19.0
US-0164,Delta,15,5,Bug,Junior,4,1,61.5
US-0165,Beta,7,8,Debito tecnico,Senior,11,0,41.5
US-0166,Gamma,8,8,Debito tecnico,Mid,4,1,38.5
US-0167,Delta,17,8,Feature,Mid,2,1,54.5
US-0168,Alpha,5,3,Feature,Mid,1,1,18.0
US-0169,Delta,11,5,Feature,Junior,7,0,49.0
US-0170,Gamma,18,3,Feature,Junior,4,0,14.5
US-0171,Gamma,12,1,Spike,Mid,2,1,5.0
US-0172,Beta,18,3,Bug,Mid,3,1,36.0
US-0173,Delta,11,3,Bug,Mid,3,0,24.5
US-0174,Delta,21,5,Bug,Junior,3,0,40.0
US-0175,Delta,21,8,Feature,Senior,5,1,59.0
US-0176,Delta,4,8,Feature,Mid,1,1,49.5
US-0177,Gamma,22,5,Spike,Mid,6,0,63.0
US-0178,Gamma,2,5,Feature,Mid,5,1,23.0
US-0179,Beta,22,1,Bug,Mid,2,0,7.0
US-0180,Alpha,16,1,Feature,Mid,2,0,4.5
US-0181,Alpha,4,1,Feature,Senior,3,0,3.0
US-0182,Beta,12,2,Feature,Junior,1,1,17.5
US-0183,Gamma,24,8,Feature,Mid,3,1,43.0
US-0184,Gamma,16,5,Bug,Mid,5,0,20.5
US-0185,Beta,13,5,Spike,Mid,7,0,57.0
US-0186,Beta,6,1,Feature,Junior,1,0,6.0
US-0187,Beta,9,5,Debito tecnico,Senior,6,0,30.0
US-0188,Delta,20,5,Feature,Mid,3,1,23.5
US-0189,Delta,21,2,Bug,Mid,2,0,10.5
US-0190,Beta,11,2,Bug,Mid,3,0,13.5
US-0191,Gamma,14,5,Feature,Senior,6,0,25.0
US-0192,Delta,17,1,Feature,Mid,1,0,3.5
US-0193,Beta,24,3,Feature,Junior,5,0,37.5
US-0194,Beta,5,13,Feature,Junior,5,0,202.5
US-0195,Gamma,2,1,Debito tecnico,Mid,2,0,2.0
US-0196,Gamma,2,2,Feature,Senior,5,0,7.0
US-0197,Delta,14,3,Feature,Mid,1,0,13.5
US-0198,Alpha,9,1,Debito tecnico,Mid,1,1,5.0
US-0199,Delta,3,5,Feature,Junior,1,0,48.5
US-0200,Alpha,11,1,Feature,Junior,1,0,6.0
US-0201,Beta,15,2,Feature,Mid,3,0,11.5
US-0202,Beta,11,3,Debito tecnico,Mid,2,0,21.0
US-0203,Gamma,17,5,Spike,Mid,4,1,57.5
US-0204,Gamma,6,2,Spike,Junior,3,1,16.0
US-0205,Alpha,24,1,Feature,Junior,3,0,5.5
US-0206,Delta,12,2,Feature,Mid,4,0,13.5
US-0207,Delta,12,1,Debito tecnico,Senior,1,0,2.0
US-0208,Alpha,13,2,Debito tecnico,Junior,3,0,9.0
US-0209,Gamma,23,3,Feature,Mid,1,0,14.5
US-0210,Delta,7,8,Bug,Junior,6,0,97.5
US-0211,Alpha,12,8,Feature,Junior,5,1,78.5
US-0212,Beta,8,5,Feature,Junior,3,0,38.0
US-0213,Beta,15,8,Feature,Mid,7,1,92.0
US-0214,Delta,14,3,Debito tecnico,Junior,3,0,19.0
US-0215,Gamma,23,13,Debito tecnico,Mid,10,0,31.5
US-0216,Alpha,2,8,Feature,Mid,7,1,103.5
US-0217,Gamma,18,5,Feature,Senior,4,1,19.0
US-0218,Gamma,1,2,Feature,Senior,3,0,5.5
US-0219,Gamma,14,5,Feature,Mid,5,0,14.0
US-0220,Delta,11,8,Feature,Mid,5,1,62.5
US-0221,Alpha,3,3,Feature,Mid,2,0,18.5
US-0222,Beta,2,2,Debito tecnico,Mid,4,0,14.5
US-0223,Alpha,20,2,Debito tecnico,Senior,2,1,8.5
US-0224,Delta,18,5,Spike,Senior,5,1,39.0
US-0225,Delta,15,13,Bug,Junior,13,0,193.0
US-0226,Delta,15,3,Debito tecnico,Mid,1,0,17.0
US-0227,Beta,3,1,Debito tecnico,Junior,1,0,5.0
US-0228,Beta,1,1,Bug,Mid,1,0,6.5
US-0229,Beta,20,8,Feature,Mid,3,1,105.0
US-0230,Alpha,8,2,Feature,Senior,2,0,7.0
US-0231,Delta,19,8,Bug,Mid,5,0,66.0
US-0232,Alpha,3,1,Bug,Mid,3,0,4.0
US-0233,Gamma,16,1,Feature,Mid,2,0,3.5
US-0234,Alpha,22,2,Bug,Junior,4,0,21.5
US-0235,Alpha,10,2,Debito tecnico,Mid,4,0,12.0
US-0236,Gamma,8,13,Feature,Junior,6,1,92.0
US-0237,Alpha,18,2,Feature,Mid,4,1,11.5
US-0238,Alpha,10,5,Spike,Senior,1,0,38.5
US-0239,Alpha,8,8,Feature,Mid,5,1,76.5
US-0240,Beta,19,5,Feature,Junior,5,0,62.0
US-0241,Alpha,17,13,Bug,Mid,6,1,57.0
US-0242,Alpha,6,2,Spike,Senior,3,0,12.0
US-0243,Alpha,11,5,Feature,Junior,2,0,32.5
US-0244,Delta,5,3,Feature,Junior,6,0,28.0
US-0245,Delta,12,8,Feature,Mid,7,0,48.0
US-0246,Beta,20,5,Bug,Mid,4,0,69.5
US-0247,Gamma,16,5,Debito tecnico,Mid,1,0,14.0
US-0248,Gamma,13,3,Spike,Senior,4,0,20.5
US-0249,Alpha,8,5,Debito tecnico,Mid,2,0,23.5
US-0250,Gamma,7,8,Feature,Senior,2,0,26.5
US-0251,Alpha,16,2,Debito tecnico,Senior,3,1,7.0
US-0252,Beta,4,1,Bug,Junior,1,0,7.5
US-0253,Gamma,22,2,Feature,Junior,4,0,10.0
US-0254,Delta,19,8,Bug,Senior,3,0,52.5
US-0255,Beta,19,3,Feature,Senior,1,0,17.5
US-0256,Alpha,5,2,Bug,Mid,3,0,10.5
US-0257,Gamma,9,8,Bug,Junior,6,0,74.0
US-0258,Gamma,12,1,Feature,Junior,2,0,5.5
US-0259,Alpha,20,5,Bug,Senior,1,0,31.0
US-0260,Alpha,5,5,Feature,Junior,6,0,47.0
US-0261,Beta,20,3,Feature,Senior,2,0,18.0
US-0262,Alpha,10,2,Feature,Mid,1,1,9.0
US-0263,Delta,22,3,Spike,Senior,1,1,24.0
US-0264,Delta,3,2,Feature,Junior,1,0,11.5
US-0265,Delta,18,1,Debito tecnico,Senior,5,0,4.5
US-0266,Alpha,1,3,Feature,Mid,1,0,15.0
US-0267,Beta,8,2,Feature,Senior,1,1,16.0
US-0268,Beta,14,13,Feature,Junior,3,0,238.0
US-0269,Beta,19,3,Feature,Junior,3,0,31.0
US-0270,Alpha,14,1,Debito tecnico,Junior,2,0,4.5
US-0271,Alpha,9,3,Feature,Mid,4,0,9.0
US-0272,Gamma,5,3,Bug,Junior,5,0,22.5
US-0273,Gamma,9,2,Debito tecnico,Mid,2,1,8.0
US-0274,Delta,5,2,Feature,Junior,1,0,17.0
US-0275,Beta,1,2,Feature,Mid,1,0,14.0
US-0276,Alpha,19,3,Feature,Mid,6,0,19.0
US-0277,Delta,24,2,Bug,Senior,3,0,11.0
US-0278,Gamma,11,1,Debito tecnico,Mid,1,0,2.0
US-0279,Delta,9,5,Bug,Senior,1,0,39.5
US-0280,Delta,15,2,Feature,Mid,1,0,8.0
US-0281,Alpha,1,2,Bug,Junior,3,0,12.5
US-0282,Delta,7,3,Bug,Senior,3,1,20.0
US-0283,Gamma,11,5,Feature,Mid,7,0,24.0
US-0284,Delta,15,3,Feature,Mid,3,0,16.5
US-0285,Gamma,8,1,Feature,Mid,4,0,3.0
US-0286,Alpha,11,3,Debito tecnico,Senior,5,0,14.0
US-0287,Alpha,6,5,Bug,Junior,4,0,29.5
US-0288,Beta,7,1,Bug,Junior,1,0,7.5
US-0289,Alpha,9,1,Debito tecnico,Senior,1,0,2.0
US-0290,Gamma,14,5,Debito tecnico,Mid,5,0,15.5
US-0291,Delta,22,3,Feature,Mid,2,0,12.0
US-0292,Gamma,2,2,Feature,Senior,3,0,7.0
US-0293,Beta,5,5,Feature,Junior,2,0,51.0
US-0294,Delta,4,1,Debito tecnico,Junior,2,0,5.0
US-0295,Beta,5,3,Feature,Junior,4,0,13.5
US-0296,Delta,11,5,Debito tecnico,Senior,3,1,19.5
US-0297,Beta,23,2,Feature,Senior,2,0,8.0
US-0298,Gamma,8,3,Bug,Senior,3,0,10.0
US-0299,Alpha,18,3,Debito tecnico,Mid,1,1,20.0
US-0300,Beta,20,8,Feature,Mid,2,0,37.0
US-0301,Beta,5,5,Debito tecnico,Senior,4,0,18.5
US-0302,Gamma,5,2,Debito tecnico,Senior,7,0,4.0
US-0303,Delta,17,3,Feature,Junior,4,0,25.0
US-0304,Alpha,4,3,Feature,Junior,1,0,11.5
US-0305,Beta,20,13,Debito tecnico,Mid,8,0,51.0
US-0306,Beta,2,5,Spike,Senior,3,0,44.0
US-0307,Gamma,15,5,Feature,Mid,2,0,32.0
US-0308,Alpha,20,13,Feature,Junior,7,0,120.5
US-0309,Gamma,23,2,Feature,Senior,3,1,7.5
US-0310,Gamma,21,3,Feature,Mid,4,1,27.0
US-0311,Gamma,16,13,Bug,Junior,3,1,98.0
US-0312,Delta,22,8,Bug,Mid,7,1,77.0
US-0313,Gamma,13,2,Bug,Senior,5,0,6.5
US-0314,Delta,22,3,Debito tecnico,Mid,2,0,22.5
US-0315,Alpha,24,2,Feature,Senior,6,0,9.0
US-0316,Beta,21,5,Feature,Senior,6,0,37.5
US-0317,Gamma,17,3,Feature,Junior,5,0,18.5
US-0318,Alpha,24,3,Debito tecnico,Mid,3,0,12.0
US-0319,Gamma,24,8,Bug,Junior,7,0,57.0
US-0320,Alpha,10,1,Debito tecnico,Mid,1,0,3.0
US-0321,Gamma,8,13,Feature,Mid,7,1,76.0
US-0322,Delta,16,3,Debito tecnico,Mid,2,0,17.0
US-0323,Alpha,12,1,Bug,Mid,1,0,4.5
US-0324,Alpha,2,8,Feature,Junior,3,0,80.5
US-0325,Gamma,8,8,Debito tecnico,Junior,5,1,66.5
US-0326,Beta,21,13,Feature,Mid,6,1,164.0
US-0327,Delta,22,8,Debito tecnico,Junior,3,0,49.0
US-0328,Alpha,4,2,Bug,Junior,3,0,11.0
US-0329,Delta,17,2,Bug,Senior,3,1,10.5
US-0330,Delta,17,2,Bug,Mid,2,0,16.0
US-0331,Gamma,19,2,Spike,Mid,3,0,6.5
US-0332,Beta,8,8,Bug,Junior,7,0,116.5
US-0333,Gamma,19,3,Feature,Senior,3,0,10.0
US-0334,Beta,15,2,Spike,Senior,2,0,11.0
US-0335,Beta,5,5,Feature,Mid,1,0,34.5
US-0336,Gamma,20,5,Feature,Junior,4,0,31.5
US-0337,Delta,24,3,Debito tecnico,Senior,3,0,10.0
US-0338,Gamma,13,8,Feature,Mid,3,0,27.5
US-0339,Delta,3,3,Feature,Senior,3,0,14.0
US-0340,Gamma,23,5,Debito tecnico,Mid,4,1,25.0
US-0341,Delta,4,1,Feature,Senior,1,1,3.5
US-0342,Alpha,8,5,Bug,Mid,5,0,33.0
US-0343,Alpha,7,3,Feature,Mid,3,1,19.5
US-0344,Alpha,14,5,Feature,Senior,6,1,39.5
US-0345,Beta,6,1,Debito tecnico,Mid,2,0,5.0
US-0346,Beta,21,3,Spike,Mid,5,0,25.5
US-0347,Gamma,8,1,Bug,Mid,1,0,4.0
US-0348,Delta,14,8,Feature,Mid,4,0,79.5
US-0349,Alpha,4,3,Feature,Mid,4,0,11.0
US-0350,Alpha,13,1,Feature,Junior,1,0,4.5
US-0351,Delta,6,5,Debito tecnico,Mid,3,0,15.5
US-0352,Beta,10,8,Debito tecnico,Mid,6,0,43.0
US-0353,Gamma,13,5,Feature,Junior,5,0,45.5
US-0354,Alpha,19,8,Feature,Junior,5,1,57.0
US-0355,Delta,20,8,Bug,Mid,5,1,98.0
US-0356,Beta,9,13,Debito tecnico,Mid,8,1,165.5
US-0357,Delta,9,2,Bug,Senior,3,0,9.0
US-0358,Alpha,6,2,Bug,Mid,2,0,9.5
US-0359,Gamma,22,1,Bug,Mid,2,0,5.0
US-0360,Delta,4,8,Feature,Junior,6,0,107.5
US-0361,Alpha,3,8,Bug,Junior,8,1,220.0
US-0362,Delta,11,2,Feature,Mid,1,0,6.0
US-0363,Delta,10,3,Feature,Mid,1,0,19.0
US-0364,Beta,7,2,Feature,Mid,1,0,7.0
US-0365,Delta,11,8,Bug,Mid,4,0,61.5
US-0366,Delta,24,1,Spike,Junior,2,0,8.0
US-0367,Alpha,7,5,Feature,Mid,5,0,20.0
US-0368,Alpha,15,3,Feature,Junior,5,1,23.5
US-0369,Alpha,18,2,Debito tecnico,Mid,3,1,10.0
US-0370,Beta,24,8,Debito tecnico,Mid,3,0,63.0
US-0371,Gamma,21,3,Feature,Mid,3,0,9.0
US-0372,Alpha,17,3,Bug,Mid,1,0,13.5
US-0373,Beta,20,1,Feature,Mid,1,0,6.0
US-0374,Beta,21,3,Debito tecnico,Senior,6,0,19.0
US-0375,Gamma,19,2,Bug,Junior,6,1,29.0
US-0376,Beta,3,3,Bug,Senior,5,0,20.5
US-0377,Beta,9,3,Feature,Mid,2,0,22.5
US-0378,Gamma,17,2,Feature,Mid,1,0,6.5
US-0379,Gamma,22,13,Feature,Junior,4,0,151.5
US-0380,Delta,3,2,Feature,Junior,4,0,12.5
US-0381,Delta,24,5,Debito tecnico,Senior,3,0,22.0
US-0382,Delta,4,13,Feature,Junior,7,1,195.5
US-0383,Delta,5,5,Feature,Mid,3,0,36.0
US-0384,Beta,2,5,Bug,Junior,4,0,74.5
US-0385,Gamma,16,1,Feature,Junior,1,0,4.0
US-0386,Gamma,15,3,Feature,Senior,2,0,11.5
US-0387,Gamma,21,5,Feature,Mid,7,1,20.5
US-0388,Delta,16,5,Spike,Mid,4,0,45.0
US-0389,Delta,3,3,Spike,Junior,3,0,19.5
US-0390,Beta,7,8,Feature,Junior,2,1,94.5
US-0391,Alpha,9,3,Feature,Mid,2,0,26.0
US-0392,Gamma,22,8,Bug,Junior,4,0,61.5
US-0393,Gamma,18,8,Debito tecnico,Junior,3,0,36.0
US-0394,Gamma,23,5,Feature,Mid,6,0,26.5
US-0395,Alpha,20,1,Feature,Junior,4,0,5.5
US-0396,Alpha,20,5,Feature,Senior,2,0,15.0
US-0397,Gamma,11,5,Feature,Mid,2,1,15.5
US-0398,Gamma,16,5,Feature,Junior,7,0,31.5
US-0399,Gamma,19,3,Feature,Mid,2,0,11.0
US-0400,Gamma,15,2,Feature,Mid,3,0,7.0
US-0401,Delta,10,5,Feature,Mid,8,0,45.5
US-0402,Beta,10,5,Feature,Senior,4,1,57.0
US-0403,Gamma,22,8,Feature,Mid,7,0,51.0
US-0404,Delta,11,2,Feature,Junior,4,0,14.5
US-0405,Delta,10,2,Bug,Mid,1,1,16.0
US-0406,Alpha,4,5,Feature,Mid,5,1,49.5
US-0407,Alpha,15,13,Bug,Mid,4,0,130.0
US-0408,Delta,23,2,Debito tecnico,Senior,1,1,11.0
US-0409,Gamma,19,2,Debito tecnico,Junior,2,0,8.0
US-0410,Gamma,15,8,Spike,Junior,7,1,132.5
US-0411,Alpha,9,2,Feature,Senior,1,0,9.5
US-0412,Alpha,10,3,Spike,Junior,1,0,30.0
US-0413,Gamma,11,13,Debito tecnico,Junior,8,1,413.0
US-0414,Alpha,5,5,Feature,Junior,3,0,44.5
US-0415,Delta,18,2,Feature,Senior,1,1,14.0
US-0416,Delta,10,13,Feature,Mid,7,0,138.0
US-0417,Delta,20,8,Debito tecnico,Senior,4,0,38.5
US-0418,Alpha,5,13,Bug,Mid,5,1,73.0
US-0419,Beta,2,3,Feature,Senior,1,0,13.0
US-0420,Alpha,20,5,Debito tecnico,Senior,7,0,17.5
US-0421,Gamma,2,3,Debito tecnico,Senior,2,0,6.5
US-0422,Gamma,18,3,Bug,Junior,1,0,16.5
US-0423,Alpha,8,5,Feature,Senior,4,0,22.0
US-0424,Delta,18,3,Feature,Mid,3,0,24.0
US-0425,Gamma,19,3,Debito tecnico,Senior,2,0,6.5
US-0426,Beta,17,3,Debito tecnico,Mid,3,0,23.0
US-0427,Delta,10,1,Bug,Junior,1,0,7.5
US-0428,Beta,22,13,Bug,Mid,5,0,152.5
US-0429,Gamma,12,8,Feature,Mid,2,0,34.0
US-0430,Delta,5,3,Bug,Senior,5,0,29.0
US-0431,Delta,16,5,Feature,Mid,9,1,40.0
US-0432,Gamma,13,13,Spike,Mid,2,1,78.0
US-0433,Beta,1,3,Feature,Mid,3,0,21.0
US-0434,Beta,15,5,Feature,Mid,8,0,47.5
US-0435,Delta,3,1,Feature,Mid,3,0,5.0
US-0436,Gamma,24,13,Spike,Mid,7,0,88.5
US-0437,Gamma,3,2,Spike,Senior,3,0,9.0
US-0438,Beta,9,5,Debito tecnico,Mid,1,0,37.0
US-0439,Gamma,10,3,Feature,Mid,2,1,15.0
US-0440,Alpha,7,5,Bug,Senior,3,0,41.5
US-0441,Gamma,11,3,Bug,Mid,2,0,15.0
US-0442,Alpha,2,3,Feature,Mid,4,1,19.0
US-0443,Gamma,23,13,Feature,Senior,14,1,151.0
US-0444,Gamma,24,2,Feature,Mid,1,0,4.5
US-0445,Delta,3,2,Feature,Mid,3,0,9.0
US-0446,Alpha,7,8,Feature,Senior,11,1,55.0
US-0447,Delta,12,2,Feature,Mid,2,0,8.5
US-0448,Delta,3,1,Bug,Mid,3,1,9.0
US-0449,Delta,8,2,Debito tecnico,Junior,1,0,15.5
US-0450,Beta,22,2,Debito tecnico,Junior,3,1,29.0
US-0451,Delta,15,8,Feature,Senior,9,1,55.5
US-0452,Alpha,23,5,Feature,Senior,1,0,23.5
US-0453,Beta,7,1,Feature,Senior,1,0,5.5
US-0454,Delta,13,3,Bug,Senior,1,0,16.0
US-0455,Gamma,24,5,Feature,Senior,3,0,22.5
US-0456,Delta,7,5,Debito tecnico,Mid,1,0,26.5
US-0457,Gamma,19,3,Feature,Junior,4,0,23.0
US-0458,Gamma,12,2,Bug,Mid,1,0,7.0
US-0459,Gamma,8,13,Feature,Senior,7,0,28.0
