id_build,righe_modificate,file_modificati,moduli_toccati,numero_test,cache_hit,ora_giorno,giorno_settimana,runner,trigger,durata_minuti
10144,115,4,2,1014,1,17,Ven,medium,push,6.24
10145,18,1,1,700,0,14,Mer,small,push,8.78
10146,299,8,3,1343,0,8,Lun,medium,pull_request,13.32
10147,122,6,1,814,1,15,Lun,medium,pull_request,7.67
10148,404,13,4,1764,1,16,Mer,small,pull_request,25.38
10149,155,5,2,1222,1,11,Mer,medium,schedule,9.97
10150,129,7,3,1347,1,10,Mer,medium,push,15.54
10151,181,7,2,967,1,14,Lun,small,pull_request,10.39
10152,40,3,2,1049,1,16,Lun,large,push,8.3
10153,666,20,5,1973,1,14,Lun,small,pull_request,13.08
10154,79,3,1,796,1,10,Gio,small,pull_request,11.3
10155,81,3,1,572,1,17,Mer,small,schedule,7.34
10156,497,14,4,1555,0,18,Lun,medium,push,10.52
10157,158,7,3,1370,1,15,Mer,large,pull_request,8.15
10158,93,8,2,1095,1,8,Ven,large,push,4.46
10159,189,7,3,1388,0,10,Lun,medium,pull_request,13.77
10160,239,7,2,833,1,15,Lun,medium,pull_request,9.13
10161,105,8,3,1186,0,16,Mar,large,pull_request,9.43
10162,331,8,3,1472,1,13,Mar,medium,pull_request,10.49
10163,30,2,2,1229,1,11,Lun,large,pull_request,7.21
10164,160,5,1,551,1,18,Ven,small,push,10.5
10165,289,8,3,1557,0,12,Gio,medium,pull_request,13.28
10166,238,10,2,1012,0,18,Gio,small,pull_request,13.73
10167,10,4,1,536,1,14,Ven,medium,pull_request,5.32
10168,104,7,2,930,0,15,Lun,large,schedule,7.84
10169,32,4,2,1219,1,9,Ven,medium,push,6.32
10170,494,14,4,1627,1,11,Sab,medium,push,12.58
10171,78,6,2,1159,1,21,Mer,medium,pull_request,9.56
10172,437,13,4,1780,1,16,Ven,medium,push,18.6
10173,31,4,2,1155,1,13,Gio,large,pull_request,6.05
10174,184,7,2,979,1,14,Mar,small,schedule,9.95
10175,121,4,2,851,1,8,Mar,small,pull_request,9.99
10176,2510,65,11,4169,1,17,Gio,medium,pull_request,35.89
10177,438,13,4,1891,1,8,Mer,medium,schedule,11.77
10178,409,14,4,1929,1,12,Mar,medium,push,10.25
10179,1117,29,5,2018,1,12,Lun,small,push,27.77
10180,164,6,1,534,1,15,Lun,medium,pull_request,5.6
10181,108,5,1,564,1,12,Lun,medium,pull_request,4.14
10182,95,4,1,618,1,20,Mar,medium,pull_request,5.67
10183,172,5,2,1206,1,17,Lun,small,push,12.17
10184,6,4,1,683,1,20,Lun,small,push,8.25
10185,120,4,1,680,1,14,Ven,medium,push,6.46
10186,154,5,2,1135,1,11,Mer,medium,push,9.64
10187,101,5,1,533,1,21,Ven,small,pull_request,7.01
10188,22,6,1,586,1,8,Lun,large,pull_request,3.33
10189,102,4,1,782,1,19,Mar,large,push,4.28
10190,22,4,1,626,0,9,Gio,small,push,10.07
10191,844,23,4,1747,1,17,Sab,medium,push,14.07
10192,90,3,1,805,1,16,Gio,medium,push,6.61
10193,12,2,1,760,0,15,Ven,medium,pull_request,7.33
10194,96,4,2,1048,1,16,Lun,medium,schedule,10.72
10195,321,10,2,852,1,8,Mar,medium,pull_request,6.62
10196,146,6,1,807,1,12,Ven,medium,push,5.3
10197,44,2,2,837,0,11,Mer,small,push,11.28
10198,57,3,2,823,1,21,Lun,medium,pull_request,8.23
10199,88,5,2,908,1,13,Lun,medium,pull_request,7.31
10200,74,4,2,931,1,7,Gio,small,push,10.74
10201,30,4,1,781,1,10,Lun,medium,push,7.85
10202,111,4,1,709,1,17,Mer,small,pull_request,8.31
10203,28,3,2,1199,0,18,Lun,medium,pull_request,9.7
10204,341,11,2,868,1,19,Lun,small,push,10.04
10205,390,11,3,1570,1,9,Mar,medium,pull_request,8.97
10206,40,2,1,664,0,16,Lun,medium,pull_request,6.53
10207,55,4,1,712,1,12,Gio,medium,push,7.95
10208,75,3,2,828,1,16,Lun,medium,pull_request,8.44
10209,116,4,2,1109,1,17,Gio,medium,push,7.26
10210,159,5,2,1014,0,10,Mer,large,push,7.32
10211,200,6,1,764,1,14,Mar,medium,pull_request,7.11
10212,195,5,2,1183,1,11,Mer,medium,push,10.39
10213,663,18,3,1253,1,13,Mar,large,pull_request,5.95
10214,128,7,3,1549,1,11,Lun,medium,schedule,11.84
10215,29,3,2,1007,1,11,Mar,medium,push,9.52
10216,20,1,2,927,1,11,Mer,medium,push,8.23
10217,725,20,4,1810,0,11,Lun,medium,push,22.48
10218,210,7,3,1171,0,15,Gio,small,push,26.97
10219,151,5,2,1092,0,15,Mar,medium,pull_request,11.37
10220,197,7,2,1183,1,18,Lun,medium,push,7.8
10221,143,5,2,888,1,12,Lun,medium,push,6.2
10222,193,9,3,1404,1,15,Lun,small,pull_request,16.25
10223,80,4,2,1117,1,20,Mar,large,pull_request,4.03
10224,383,11,3,1385,0,13,Mar,medium,schedule,14.65
10225,67,2,2,1199,1,16,Lun,medium,push,8.18
10226,44,2,2,1170,1,20,Mer,small,pull_request,9.75
10227,19,1,2,918,0,17,Lun,medium,push,8.83
10228,92,2,2,989,1,8,Ven,small,pull_request,12.56
10229,484,13,4,1770,0,10,Mer,medium,schedule,16.63
10230,73,3,2,989,1,11,Gio,large,pull_request,6.19
10231,26,2,2,969,0,16,Mer,medium,pull_request,11.65
10232,164,9,3,1495,0,15,Lun,large,pull_request,9.66
10233,59,3,1,500,1,9,Mer,medium,pull_request,4.85
10234,659,16,4,1730,1,13,Mar,small,push,13.17
10235,391,12,2,967,1,12,Mer,large,pull_request,4.96
10236,30,3,2,1111,0,16,Ven,large,schedule,9.92
10237,99,3,1,850,1,10,Mar,medium,pull_request,8.79
10238,52,6,1,849,0,10,Lun,small,push,12.27
10239,33,3,2,962,0,15,Gio,medium,pull_request,9.57
10240,113,5,1,622,1,8,Lun,small,pull_request,7.39
10241,295,9,2,859,1,15,Gio,large,push,5.02
10242,110,5,2,1181,1,13,Gio,medium,push,7.77
10243,68,2,2,957,1,14,Gio,small,push,9.41
10244,11,1,2,945,1,17,Lun,small,pull_request,9.2
10245,58,3,1,626,1,10,Lun,small,push,9.21
10246,220,7,3,1556,1,10,Mer,medium,push,13.65
10247,27,3,2,1226,1,18,Mar,small,schedule,9.62
10248,492,13,3,1288,1,16,Ven,medium,push,13.78
10249,63,4,2,1080,1,11,Mer,medium,push,11.21
10250,148,5,2,913,1,16,Mer,medium,push,12.37
10251,77,4,1,652,0,13,Lun,medium,pull_request,7.18
10252,33,3,1,757,1,15,Mer,small,schedule,12.66
10253,195,6,2,1045,1,17,Mar,small,pull_request,12.4
10254,62,3,2,1177,0,7,Mer,medium,pull_request,10.03
10255,48,2,2,1041,0,15,Mar,large,push,6.73
10256,9,1,2,1113,1,11,Mer,medium,push,10.88
10257,503,15,3,1346,0,14,Ven,small,pull_request,18.3
10258,121,5,2,1104,1,11,Lun,medium,push,12.66
10259,405,13,4,1845,0,19,Mar,small,push,23.73
10260,237,10,3,1550,1,15,Gio,medium,push,14.76
10261,405,12,2,966,1,17,Gio,medium,schedule,7.05
10262,65,3,2,1059,0,10,Mar,large,push,8.48
10263,27,3,2,1076,1,11,Mar,medium,schedule,7.03
10264,278,10,2,1180,1,17,Gio,medium,pull_request,8.96
10265,138,7,2,892,0,10,Mer,small,push,18.81
10266,72,4,2,825,1,23,Mar,small,push,11.55
10267,272,7,2,869,1,15,Lun,small,push,11.86
10268,168,4,1,521,1,18,Gio,large,push,2.76
10269,242,8,2,929,0,9,Mar,large,push,6.05
10270,39,3,1,602,1,12,Mer,small,pull_request,7.29
10271,352,14,3,1209,1,11,Gio,large,pull_request,8.43
10272,119,6,2,1198,1,20,Mer,medium,push,5.95
10273,396,11,3,1485,1,9,Mar,medium,schedule,9.93
10274,348,11,2,889,1,16,Mar,large,push,5.49
10275,255,9,2,969,1,15,Gio,large,schedule,8.12
10276,106,4,2,986,1,17,Ven,medium,pull_request,5.15
10277,262,9,3,1521,0,21,Ven,medium,pull_request,14.63
10278,407,12,2,830,0,17,Gio,medium,pull_request,9.24
10279,234,6,2,1173,1,10,Mer,small,push,10.5
10280,150,8,2,861,1,17,Ven,medium,pull_request,8.92
10281,263,11,3,1401,1,14,Mar,large,pull_request,8.23
10282,67,2,1,721,1,15,Ven,small,pull_request,12.08
10283,635,18,4,1603,1,11,Mer,medium,pull_request,14.53
10284,19,1,1,492,1,17,Mer,medium,push,4.39
10285,125,5,2,980,1,13,Lun,medium,schedule,7.39
10286,77,3,1,818,1,17,Mer,small,schedule,9.24
10287,59,1,1,696,0,12,Mar,large,pull_request,4.5
10288,168,9,3,1525,1,15,Mar,medium,pull_request,10.87
10289,35,2,1,618,1,9,Mer,small,pull_request,8.01
10290,1280,34,7,2818,1,9,Ven,medium,pull_request,19.03
10291,27,3,1,815,0,19,Gio,small,push,11.75
10292,42,4,1,600,0,16,Mar,small,schedule,14.5
10293,38,5,1,875,1,10,Gio,medium,push,8.84
10294,149,6,2,1162,1,15,Mer,medium,pull_request,8.4
10295,366,9,2,1068,1,16,Mar,medium,push,9.96
10296,214,6,2,1029,1,15,Ven,small,push,14.14
10297,606,18,3,1225,1,13,Lun,medium,pull_request,10.72
10298,48,3,2,899,1,17,Gio,large,pull_request,5.51
10299,248,6,1,823,1,7,Mar,large,push,4.41
10300,86,3,2,968,1,15,Ven,small,pull_request,11.73
10301,154,8,3,1529,0,13,Gio,medium,push,14.32
10302,406,11,3,1296,1,15,Mer,small,pull_request,17.49
10303,19,1,1,568,1,11,Lun,medium,push,6.67
10304,1072,33,6,2455,0,10,Lun,large,push,16.74
10305,102,6,2,949,1,21,Lun,medium,push,9.83
10306,20,4,1,621,1,17,Gio,medium,push,5.51
10307,56,2,1,642,0,18,Mer,large,pull_request,4.68
10308,134,4,1,789,1,16,Mar,small,push,11.01
10309,56,4,1,797,0,8,Mar,medium,pull_request,7.18
10310,13,2,2,1082,1,15,Mar,small,pull_request,10.83
10311,133,5,2,1190,0,12,Gio,small,push,14.62
10312,54,1,1,550,1,11,Mar,medium,schedule,5.13
10313,246,8,3,1431,0,10,Gio,small,pull_request,21.71
10314,37,1,2,997,1,10,Gio,small,push,9.98
10315,1444,40,8,3072,1,9,Mar,small,pull_request,20.49
10316,211,8,2,1112,1,9,Mar,large,push,6.07
10317,149,5,1,603,1,16,Mer,small,push,8.06
10318,238,9,2,902,1,19,Ven,medium,push,7.7
10319,16,2,1,656,1,12,Lun,small,push,7.78
10320,69,4,1,535,1,9,Mar,large,push,3.63
10321,853,21,4,1747,1,10,Mer,small,push,19.58
10322,84,5,2,1098,1,16,Mar,medium,pull_request,9.4
10323,112,8,2,873,1,11,Mar,medium,pull_request,7.84
10324,72,3,1,628,0,15,Mer,medium,push,9.75
10325,601,17,3,1280,0,10,Lun,large,push,10.29
10326,92,4,2,854,1,16,Mer,small,push,11.51
10327,30,2,2,863,0,15,Ven,small,push,16.75
10328,2047,53,10,3840,0,10,Ven,medium,pull_request,37.65
10329,26,2,1,697,1,19,Mer,medium,pull_request,4.26
10330,108,6,1,688,1,14,Mar,large,push,3.39
10331,48,4,1,481,1,10,Mar,small,pull_request,9.96
10332,55,4,2,842,1,14,Mar,large,push,4.77
10333,37,4,1,528,0,12,Mer,small,push,9.26
10334,66,3,2,1136,1,18,Lun,small,pull_request,11.38
10335,354,12,3,1436,1,11,Mar,medium,pull_request,16.11
10336,15,4,2,1020,1,18,Lun,medium,pull_request,5.34
10337,480,13,4,1522,1,16,Lun,small,pull_request,18.79
10338,397,12,2,819,0,16,Gio,large,push,8.26
10339,210,8,3,1321,0,10,Dom,small,schedule,16.37
10340,138,4,2,1180,0,8,Gio,large,schedule,7.86
10341,163,8,3,1224,1,17,Mar,small,push,13.99
10342,574,17,4,1779,1,14,Mar,small,pull_request,16.25
10343,18,2,1,709,0,20,Mer,large,push,3.75
10344,267,7,3,1550,1,14,Ven,small,schedule,20.65
10345,53,4,2,941,0,15,Gio,medium,schedule,11.11
10346,298,8,2,938,1,23,Lun,large,push,5.27
10347,61,4,2,1063,1,16,Mer,small,push,15.89
10348,261,14,4,1676,1,11,Lun,medium,pull_request,13.15
10349,22,2,1,544,0,17,Mar,medium,push,7.7
10350,19,1,2,1093,1,11,Ven,small,pull_request,12.63
10351,106,3,1,852,0,14,Ven,small,push,14.09
10352,582,17,3,1524,1,10,Mar,small,pull_request,19.69
10353,216,7,2,838,1,22,Gio,medium,push,6.29
10354,215,8,3,1492,0,19,Mar,medium,pull_request,17.12
10355,309,13,3,1454,1,18,Lun,medium,pull_request,10.78
10356,78,2,1,739,1,12,Ven,medium,pull_request,5.3
10357,235,7,3,1351,1,16,Gio,medium,pull_request,9.49
10358,63,4,1,790,0,10,Mar,large,pull_request,7.11
10359,85,3,1,717,1,12,Gio,medium,pull_request,7.06
10360,97,2,2,882,1,17,Lun,large,push,5.14
10361,66,3,1,526,0,8,Mer,medium,push,6.72
10362,112,5,1,777,1,7,Sab,large,pull_request,5.3
10363,91,3,2,976,1,15,Gio,large,push,6.94
10364,55,2,1,701,0,16,Mer,medium,pull_request,7.91
10365,103,3,1,782,0,12,Mar,medium,push,6.74
10366,142,6,2,923,1,15,Gio,small,push,13.59
10367,36,5,2,1202,0,18,Ven,medium,pull_request,10.53
10368,190,6,2,924,0,9,Lun,medium,pull_request,10.84
10369,70,3,2,1003,1,17,Lun,medium,push,7.73
10370,149,8,2,915,1,15,Mar,small,pull_request,13.81
10371,58,4,1,757,0,12,Mer,large,schedule,5.3
10372,381,12,2,874,1,7,Mar,small,push,11.86
10373,344,13,4,1663,1,12,Mer,medium,schedule,12.57
10374,38,2,1,595,1,17,Mar,large,pull_request,3.53
10375,214,6,2,1116,1,14,Sab,small,push,10.79
10376,589,16,3,1192,1,10,Mar,medium,pull_request,12.28
10377,42,1,1,727,1,10,Gio,medium,pull_request,7.26
10378,46,5,2,1090,0,17,Ven,large,pull_request,8.01
10379,269,9,2,1129,1,12,Mer,large,push,5.82
10380,28,2,1,672,1,9,Lun,medium,push,4.44
10381,51,1,2,1088,1,20,Ven,large,push,4.45
10382,39,2,2,869,0,10,Mar,medium,pull_request,10.38
10383,273,12,3,1376,1,17,Mer,medium,pull_request,10.61
10384,56,7,2,1119,1,2,Lun,medium,schedule,6.91
10385,88,4,2,918,1,10,Mar,medium,push,9.71
10386,53,2,2,894,1,11,Mer,small,pull_request,10.78
10387,424,11,2,932,0,17,Gio,medium,pull_request,10.1
10388,47,3,1,684,1,16,Ven,small,pull_request,10.36
10389,26,4,1,487,1,11,Mer,small,schedule,7.14
10390,24,2,2,1191,0,17,Mar,large,pull_request,7.2
10391,257,8,3,1415,1,17,Mer,medium,push,12.28
10392,279,9,3,1480,1,14,Lun,medium,pull_request,9.61
10393,474,16,3,1504,1,14,Lun,medium,schedule,10.39
10394,30,3,2,1056,0,14,Mar,medium,push,9.59
10395,93,2,1,776,0,10,Lun,small,pull_request,13.03
10396,1733,46,8,3157,1,17,Lun,medium,pull_request,21.02
10397,86,5,2,1120,1,16,Lun,large,pull_request,6.73
10398,65,4,2,857,1,17,Lun,small,pull_request,7.52
10399,117,5,1,803,1,17,Gio,small,pull_request,9.12
10400,215,6,1,626,1,17,Mar,medium,push,4.78
10401,211,8,2,1009,1,16,Ven,medium,push,9.98
10402,61,4,2,933,1,19,Ven,medium,push,7.84
10403,63,4,1,650,1,15,Ven,medium,pull_request,7.27
10404,87,6,2,1023,1,17,Mar,large,push,4.54
10405,54,5,1,629,0,17,Mar,small,pull_request,9.87
10406,31,2,1,834,1,11,Mer,small,pull_request,10.28
10407,877,25,5,2075,0,14,Mer,medium,push,16.78
10408,77,4,2,1137,1,16,Lun,medium,push,13.28
10409,82,3,1,854,1,9,Mar,small,pull_request,7.6
10410,84,3,1,736,1,14,Mer,medium,push,6.25
10411,110,4,2,952,0,0,Gio,medium,push,11.43
10412,194,9,3,1435,0,10,Mar,medium,push,16.0
10413,72,5,1,464,1,13,Mar,medium,push,4.41
10414,420,11,2,1115,1,11,Mer,small,push,13.26
10415,232,10,2,825,1,16,Gio,medium,push,7.03
10416,97,2,1,652,1,15,Gio,large,push,4.9
10417,58,3,1,579,1,11,Gio,medium,push,6.65
10418,396,11,3,1516,0,3,Mer,medium,pull_request,12.44
10419,100,3,2,1083,1,10,Mar,medium,push,11.82
10420,31,1,2,1051,0,14,Mar,medium,push,9.17
10421,369,13,3,1440,1,16,Lun,large,pull_request,6.86
10422,54,1,1,765,1,15,Mar,medium,pull_request,9.19
10423,312,9,2,880,1,8,Ven,small,pull_request,8.54
10424,8,1,1,469,0,13,Mer,small,pull_request,9.18
10425,80,5,2,1197,1,20,Mer,small,push,12.41
10426,430,13,4,1742,1,18,Mar,small,pull_request,16.21
10427,121,5,1,734,1,16,Mer,medium,schedule,8.46
10428,232,8,3,1302,1,11,Lun,small,push,16.4
10429,44,5,2,1157,1,4,Mar,medium,push,7.45
10430,176,6,1,468,1,13,Mer,medium,push,3.68
10431,120,5,2,991,0,12,Lun,small,schedule,10.05
10432,157,4,1,725,0,15,Mar,small,push,19.54
10433,1131,28,5,2054,0,8,Lun,small,schedule,29.8
10434,504,19,5,2250,0,19,Lun,medium,pull_request,21.8
10435,287,12,2,839,1,16,Mar,medium,pull_request,12.97
10436,291,8,2,1114,1,20,Gio,medium,push,7.67
10437,44,1,1,833,1,17,Mar,small,push,8.4
10438,71,4,2,846,1,12,Lun,large,push,3.73
10439,22,2,2,1081,0,15,Mar,medium,pull_request,11.22
10440,30,1,2,852,0,17,Mar,medium,pull_request,8.19
10441,45,2,2,1072,1,10,Gio,medium,pull_request,8.93
10442,116,3,2,957,1,1,Gio,small,push,11.93
10443,31,1,2,1145,1,11,Gio,medium,pull_request,10.87
10444,115,5,1,546,1,13,Mer,medium,push,5.99
10445,101,4,1,618,1,15,Gio,small,pull_request,7.95
10446,34,1,1,478,0,11,Mar,small,push,10.88
10447,643,16,4,1829,1,13,Gio,medium,schedule,13.01
10448,28,5,2,840,0,15,Mar,medium,pull_request,14.12
10449,410,14,4,1787,1,17,Mer,large,pull_request,8.45
10450,10,3,1,602,1,10,Gio,medium,push,6.42
10451,103,3,2,1175,1,17,Gio,large,pull_request,6.61
10452,32,3,1,542,1,19,Mar,small,push,6.84
10453,58,1,1,728,1,12,Ven,medium,push,6.2
10454,879,23,4,1593,1,14,Mer,medium,push,12.69
10455,82,4,2,835,1,1,Mer,large,push,4.4
10456,36,2,1,817,1,16,Mer,medium,push,6.83
10457,205,6,1,829,1,18,Gio,medium,pull_request,6.28
10458,81,5,1,878,1,3,Ven,small,pull_request,8.26
10459,142,8,3,1265,0,17,Gio,medium,push,9.07
10460,44,2,1,798,1,9,Mar,medium,push,6.64
10461,46,3,1,664,1,17,Mer,small,push,8.38
10462,50,2,1,570,0,14,Mar,medium,schedule,5.82
10463,289,11,2,956,1,12,Gio,medium,pull_request,6.59
10464,94,5,2,899,0,19,Dom,medium,pull_request,9.53
10465,38,2,1,716,1,15,Ven,medium,pull_request,9.21
10466,143,5,1,710,0,7,Mer,medium,pull_request,8.45
10467,131,8,2,878,1,16,Mar,small,push,14.6
10468,226,7,3,1489,0,10,Mer,medium,push,14.76
10469,71,3,2,1025,0,19,Mar,large,pull_request,6.88
10470,110,4,2,1085,1,10,Dom,small,push,10.52
