id_ticket,canale,tipo_cliente,componente_indicato,priorita_dichiarata,stack_trace,allegati,lunghezza_descrizione,parole_errore,parole_richiesta,punti_interrogativi,utenti_segnalanti,ora_apertura,categoria
T-00051,chat,Free,Account,Media,0,0,680,0,0,3,1,10,Domanda
T-00052,chat,Business,API,Bassa,0,0,602,0,4,0,1,12,Richiesta
T-00053,chat,Business,Backend,Media,1,2,913,3,0,0,1,20,Bug
T-00054,chat,Business,API,Bassa,0,1,181,0,1,1,1,16,Domanda
T-00055,email,Free,API,Media,1,0,1660,4,0,0,1,9,Bug
T-00056,email,Business,Nessuno,Bassa,0,0,286,0,0,1,1,9,Domanda
T-00057,chat,Free,Account,Media,0,0,245,2,0,2,1,13,Domanda
T-00058,form,Business,API,Media,1,1,481,3,0,0,1,15,Bug
T-00059,email,Free,Backend,Media,1,0,115,0,0,1,2,11,Bug
T-00060,form,Free,Mobile,Alta,1,1,700,4,0,0,1,12,Bug
T-00061,form,Business,Frontend,Media,0,0,563,1,4,1,1,13,Richiesta
T-00062,chat,Free,Fatturazione,Media,0,1,128,1,0,2,1,17,Domanda
T-00063,email,Enterprise,Frontend,Bassa,0,0,611,0,4,0,1,23,Richiesta
T-00064,email,Business,Frontend,Media,0,0,286,1,0,3,1,11,Domanda
T-00065,form,Enterprise,API,Urgente,1,1,513,1,1,1,8,14,Incidente
T-00066,form,Free,Mobile,Media,0,0,1251,4,1,0,1,13,Bug
T-00067,chat,Business,Fatturazione,Bassa,0,0,438,0,3,5,1,12,Domanda
T-00068,email,Business,Mobile,Bassa,0,0,625,0,3,0,1,12,Richiesta
T-00069,form,Business,Frontend,Media,1,0,290,0,3,0,1,12,Richiesta
T-00070,email,Enterprise,API,Media,0,0,297,1,1,1,1,12,Richiesta
T-00071,email,Free,Mobile,Alta,1,2,871,5,0,1,1,11,Bug
T-00072,email,Business,API,Alta,0,1,240,2,2,0,1,11,Bug
T-00073,chat,Business,Frontend,Bassa,0,2,1358,1,0,0,2,10,Bug
T-00074,email,Business,Mobile,Media,1,1,1087,0,3,0,1,11,Richiesta
T-00075,form,Business,Account,Alta,0,1,543,5,2,0,2,11,Bug
T-00076,email,Free,Frontend,Media,1,1,544,4,1,0,1,11,Bug
T-00077,form,Free,Mobile,Media,1,2,772,1,0,0,1,10,Bug
T-00078,form,Free,Nessuno,Bassa,0,0,1442,1,1,0,1,9,Domanda
T-00079,email,Business,API,Bassa,0,0,446,2,1,1,1,6,Domanda
T-00080,form,Free,Nessuno,Bassa,0,0,352,0,2,1,1,14,Domanda
T-00081,chat,Free,Account,Media,1,0,242,2,0,3,1,14,Domanda
T-00082,form,Business,Backend,Media,0,1,488,1,1,0,1,11,Bug
T-00083,email,Free,API,Media,0,0,447,0,1,6,1,8,Domanda
T-00084,form,Free,Frontend,Bassa,0,0,568,0,2,1,1,14,Richiesta
T-00085,telefono,Enterprise,API,Alta,0,0,425,4,0,1,9,23,Incidente
T-00086,form,Free,Mobile,Bassa,1,3,510,3,0,1,1,19,Bug
T-00087,form,Free,Account,Media,1,4,861,3,1,0,2,11,Bug
T-00088,chat,Business,Frontend,Media,0,0,596,0,3,3,1,12,Domanda
T-00089,form,Free,Backend,Media,0,0,231,1,2,0,1,16,Richiesta
T-00090,form,Business,Mobile,Bassa,0,1,386,0,2,1,1,15,Richiesta
T-00091,form,Free,Nessuno,Bassa,0,0,127,1,3,0,1,18,Domanda
T-00092,email,Business,Account,Media,0,0,927,2,0,1,1,16,Bug
T-00093,email,Free,Nessuno,Media,0,0,375,1,3,0,1,14,Richiesta
T-00094,chat,Business,Nessuno,Bassa,0,0,238,0,2,1,1,12,Domanda
T-00095,email,Free,Frontend,Alta,0,1,622,0,2,1,1,11,Richiesta
T-00096,telefono,Business,Backend,Alta,1,2,289,5,0,2,9,16,Incidente
T-00097,form,Free,Fatturazione,Bassa,0,0,386,2,0,2,1,10,Domanda
T-00098,form,Free,Backend,Media,0,0,1384,1,0,0,1,9,Bug
T-00099,chat,Business,Fatturazione,Bassa,0,0,332,1,0,2,1,14,Domanda
T-00100,chat,Free,Nessuno,Bassa,0,1,372,1,5,0,1,17,Richiesta
T-00101,email,Business,Fatturazione,Bassa,0,0,1990,1,0,1,1,13,Bug
T-00102,form,Business,API,Alta,0,3,909,4,0,0,1,16,Bug
T-00103,telefono,Free,Nessuno,Media,0,0,251,0,1,0,1,16,Domanda
T-00104,chat,Free,API,Bassa,0,0,272,0,0,1,1,13,Domanda
T-00105,form,Business,Frontend,Alta,1,0,385,2,0,2,2,8,Bug
T-00106,email,Business,Nessuno,Bassa,0,0,255,0,1,1,1,9,Domanda
T-00107,form,Enterprise,Mobile,Bassa,1,0,394,2,0,2,1,10,Bug
T-00108,email,Enterprise,API,Media,1,2,1723,5,0,1,1,14,Bug
T-00109,chat,Business,Account,Media,0,2,397,3,0,1,2,16,Bug
T-00110,telefono,Free,Frontend,Media,1,0,726,5,0,1,1,14,Bug
T-00111,email,Business,Frontend,Bassa,0,0,843,1,2,0,1,11,Richiesta
T-00112,form,Enterprise,API,Alta,1,0,497,4,0,1,1,13,Bug
T-00113,chat,Business,Mobile,Bassa,0,0,306,1,1,2,1,14,Richiesta
T-00114,chat,Business,Frontend,Bassa,0,2,134,2,0,3,1,12,Domanda
T-00115,email,Free,Nessuno,Bassa,0,0,350,0,2,1,1,10,Richiesta
T-00116,chat,Business,Frontend,Bassa,0,0,432,1,0,1,1,14,Richiesta
T-00117,email,Business,Fatturazione,Bassa,0,0,157,1,1,4,1,8,Domanda
T-00118,email,Business,Fatturazione,Bassa,0,0,469,0,0,1,1,17,Domanda
T-00119,form,Business,Backend,Media,0,3,642,2,1,1,1,11,Bug
T-00120,email,Business,Nessuno,Alta,0,0,289,0,5,0,1,14,Richiesta
T-00121,email,Business,Nessuno,Media,0,0,417,0,2,1,1,11,Richiesta
T-00122,email,Business,API,Media,1,1,473,0,0,1,2,12,Bug
T-00123,email,Free,Backend,Urgente,0,2,754,3,1,0,1,11,Bug
T-00124,form,Enterprise,API,Media,0,1,440,2,0,0,1,11,Bug
T-00125,email,Business,Backend,Alta,0,1,843,4,0,0,1,11,Bug
T-00126,telefono,Business,Backend,Urgente,0,0,221,5,0,0,3,8,Incidente
T-00127,telefono,Enterprise,Fatturazione,Urgente,0,1,275,2,0,0,4,0,Incidente
T-00128,chat,Free,Account,Bassa,1,0,167,1,1,0,1,11,Domanda
T-00129,chat,Free,Fatturazione,Bassa,0,1,192,0,0,3,1,16,Domanda
T-00130,chat,Enterprise,Fatturazione,Urgente,0,3,360,2,1,0,5,11,Incidente
T-00131,email,Business,Mobile,Media,1,0,551,5,0,0,1,17,Bug
T-00132,chat,Business,Nessuno,Bassa,0,0,629,0,4,1,1,15,Richiesta
T-00133,form,Enterprise,API,Bassa,1,0,815,1,0,1,1,15,Bug
T-00134,form,Enterprise,Backend,Alta,0,0,2102,1,0,0,1,6,Bug
T-00135,email,Business,Backend,Alta,1,0,445,4,0,1,1,15,Bug
T-00136,form,Enterprise,Account,Alta,0,0,296,1,1,1,1,13,Domanda
T-00137,email,Business,Mobile,Bassa,0,1,419,0,1,0,1,10,Richiesta
T-00138,chat,Enterprise,Nessuno,Bassa,0,1,228,1,1,1,1,15,Domanda
T-00139,chat,Free,Nessuno,Media,0,1,252,1,0,4,1,11,Domanda
T-00140,email,Free,Mobile,Bassa,1,1,635,3,0,2,1,12,Bug
T-00141,chat,Business,Backend,Urgente,1,2,152,3,0,1,10,20,Incidente
T-00142,email,Enterprise,Nessuno,Media,0,0,621,1,3,1,1,9,Richiesta
T-00143,email,Business,Frontend,Urgente,1,0,201,0,0,0,1,13,Bug
T-00144,telefono,Enterprise,API,Alta,0,0,188,2,0,0,5,0,Incidente
T-00145,form,Business,Frontend,Media,0,0,574,3,0,0,2,17,Bug
T-00146,chat,Free,Mobile,Bassa,0,0,141,1,0,3,1,10,Domanda
T-00147,email,Free,Frontend,Media,0,2,1300,2,0,1,1,9,Bug
T-00148,chat,Free,Nessuno,Bassa,0,0,553,0,2,1,1,13,Richiesta
T-00149,form,Business,Mobile,Bassa,0,0,303,0,3,1,1,15,Richiesta
T-00150,form,Free,Frontend,Bassa,1,1,655,2,1,0,2,6,Bug
T-00151,email,Business,Fatturazione,Alta,0,1,485,0,2,1,1,20,Richiesta
T-00152,telefono,Business,API,Urgente,1,0,378,3,0,1,4,10,Incidente
T-00153,form,Business,Backend,Bassa,1,1,702,4,2,0,1,11,Bug
T-00154,email,Free,Mobile,Alta,1,1,751,2,0,0,1,16,Bug
T-00155,email,Enterprise,Frontend,Bassa,0,1,479,0,2,1,1,13,Richiesta
T-00156,form,Enterprise,Mobile,Bassa,0,1,688,3,1,0,1,16,Bug
T-00157,chat,Free,Account,Bassa,0,0,180,0,1,1,1,15,Domanda
T-00158,chat,Free,Account,Media,0,1,229,0,1,1,1,10,Domanda
T-00159,email,Business,Backend,Media,1,2,684,3,0,0,2,13,Bug
T-00160,email,Free,Fatturazione,Media,0,0,199,0,0,3,1,11,Domanda
T-00161,chat,Business,Fatturazione,Media,0,0,251,2,0,4,1,9,Domanda
T-00162,email,Business,API,Media,0,1,369,0,3,1,1,11,Richiesta
T-00163,form,Enterprise,Backend,Bassa,1,0,1295,1,1,1,1,15,Bug
T-00164,chat,Business,Backend,Bassa,1,0,369,1,0,1,1,14,Bug
T-00165,form,Enterprise,Frontend,Bassa,0,0,288,0,1,1,1,14,Richiesta
T-00166,chat,Free,Account,Alta,0,1,129,0,1,3,1,13,Domanda
T-00167,form,Enterprise,Mobile,Bassa,1,1,465,4,0,1,1,16,Bug
T-00168,email,Free,Nessuno,Media,0,1,246,1,0,2,1,9,Domanda
T-00169,email,Enterprise,Frontend,Alta,1,2,621,6,0,0,1,16,Bug
T-00170,email,Business,Fatturazione,Bassa,0,0,244,0,0,1,2,10,Richiesta
T-00171,chat,Business,Backend,Alta,1,0,1860,5,0,1,2,9,Bug
T-00172,chat,Free,API,Bassa,0,0,232,0,0,2,1,14,Domanda
T-00173,chat,Free,Mobile,Bassa,0,2,750,3,1,1,1,15,Bug
T-00174,chat,Free,Nessuno,Bassa,0,0,340,0,1,1,1,14,Domanda
T-00175,chat,Free,Nessuno,Bassa,0,0,128,4,0,1,1,13,Domanda
T-00176,email,Enterprise,Fatturazione,Urgente,0,1,469,0,0,0,4,0,Incidente
T-00177,email,Free,Mobile,Bassa,0,2,1152,0,1,0,1,11,Richiesta
T-00178,email,Free,Frontend,Alta,1,2,883,2,0,1,1,17,Bug
T-00179,form,Business,Account,Bassa,0,0,341,2,2,3,1,16,Domanda
T-00180,email,Free,API,Bassa,0,1,1128,0,0,0,1,14,Richiesta
T-00181,form,Free,Mobile,Alta,1,0,626,3,0,1,1,13,Bug
T-00182,form,Free,Backend,Media,1,1,395,1,0,0,2,18,Bug
T-00183,telefono,Enterprise,Backend,Media,0,1,373,4,0,0,1,10,Bug
T-00184,form,Business,Fatturazione,Media,0,1,453,3,0,3,1,12,Domanda
T-00185,chat,Free,Frontend,Bassa,0,1,336,1,1,2,1,16,Domanda
T-00186,chat,Free,Mobile,Media,1,2,405,3,0,0,1,15,Bug
T-00187,chat,Business,Nessuno,Bassa,0,1,321,0,0,0,1,16,Richiesta
T-00188,form,Business,Fatturazione,Alta,0,0,562,0,0,2,1,12,Richiesta
T-00189,form,Business,Fatturazione,Bassa,1,0,393,1,4,0,1,11,Domanda
T-00190,chat,Enterprise,Nessuno,Alta,0,1,310,0,1,4,1,17,Domanda
T-00191,email,Business,Frontend,Bassa,0,0,376,0,4,0,1,14,Richiesta
T-00192,email,Business,Frontend,Alta,1,0,779,3,1,0,1,13,Bug
T-00193,form,Business,API,Media,0,3,814,1,0,1,1,13,Bug
T-00194,email,Business,API,Media,0,0,189,0,1,0,1,14,Richiesta
T-00195,form,Business,Mobile,Media,0,0,508,0,0,0,1,15,Richiesta
T-00196,email,Business,API,Media,1,0,1488,2,0,0,1,11,Bug
T-00197,telefono,Business,Backend,Urgente,0,1,228,1,0,0,5,8,Incidente
T-00198,email,Free,Account,Media,0,1,175,2,1,3,1,15,Domanda
T-00199,chat,Free,Mobile,Media,0,1,475,2,0,2,1,13,Domanda
T-00200,email,Free,Backend,Bassa,1,0,892,6,0,1,1,9,Bug
T-00201,email,Business,Nessuno,Bassa,0,1,1219,1,3,2,2,12,Richiesta
T-00202,chat,Business,Frontend,Media,1,2,288,5,0,0,2,12,Bug
T-00203,chat,Free,API,Media,1,3,620,2,0,1,1,11,Bug
T-00204,telefono,Enterprise,Account,Alta,1,0,335,5,0,1,14,2,Incidente
T-00205,form,Enterprise,Nessuno,Media,0,1,563,0,0,3,1,15,Domanda
T-00206,email,Business,Nessuno,Media,0,0,455,0,4,0,1,14,Richiesta
T-00207,email,Enterprise,Backend,Bassa,0,1,1602,2,0,1,1,12,Bug
T-00208,form,Enterprise,Frontend,Urgente,1,1,836,2,3,1,2,17,Bug
T-00209,form,Free,Mobile,Alta,0,4,486,4,1,0,1,16,Bug
T-00210,form,Free,Nessuno,Media,0,0,175,0,5,3,1,16,Domanda
T-00211,email,Free,Backend,Media,1,0,340,9,1,0,1,14,Bug
T-00212,email,Enterprise,Backend,Media,0,0,228,0,0,0,1,15,Richiesta
T-00213,chat,Enterprise,Nessuno,Bassa,0,0,212,1,1,0,1,12,Domanda
T-00214,email,Free,Mobile,Media,1,0,603,0,0,1,2,20,Bug
T-00215,form,Enterprise,Account,Media,0,3,380,0,3,1,1,17,Richiesta
T-00216,chat,Enterprise,API,Bassa,0,1,312,2,1,1,1,12,Richiesta
T-00217,form,Free,API,Urgente,0,1,410,2,2,2,2,16,Bug
T-00218,email,Free,Fatturazione,Bassa,0,1,1294,0,1,1,1,17,Domanda
T-00219,chat,Business,API,Alta,0,1,555,5,0,0,1,10,Bug
T-00220,email,Business,Frontend,Media,0,1,523,1,4,1,1,11,Richiesta
T-00221,email,Business,Frontend,Alta,0,0,960,1,1,0,1,16,Bug
T-00222,form,Enterprise,Backend,Media,0,2,625,1,0,0,2,15,Bug
T-00223,form,Enterprise,Frontend,Media,0,0,204,0,0,1,1,11,Domanda
T-00224,form,Business,Mobile,Alta,0,1,287,0,1,4,1,8,Domanda
T-00225,telefono,Free,Frontend,Urgente,0,0,144,0,0,1,1,8,Domanda
T-00226,form,Enterprise,Nessuno,Bassa,0,0,890,0,4,0,1,14,Richiesta
T-00227,form,Enterprise,Fatturazione,Bassa,0,1,322,1,0,0,2,10,Bug
T-00228,telefono,Business,Nessuno,Media,0,1,255,0,0,3,1,8,Domanda
T-00229,form,Enterprise,Backend,Media,1,1,1246,2,0,0,1,15,Bug
T-00230,chat,Free,Mobile,Bassa,0,1,228,1,1,2,2,13,Domanda
T-00231,form,Business,Frontend,Media,0,3,767,4,0,1,2,13,Bug
T-00232,chat,Free,Mobile,Bassa,1,1,359,1,0,2,1,10,Bug
T-00233,email,Business,Account,Media,0,1,160,0,1,1,1,11,Domanda
T-00234,form,Free,Frontend,Alta,1,1,809,4,0,1,1,15,Bug
T-00235,form,Business,Backend,Bassa,0,3,964,2,0,0,1,13,Bug
T-00236,chat,Free,Frontend,Alta,1,2,712,4,0,0,1,13,Bug
T-00237,form,Business,Backend,Alta,1,1,916,3,0,0,2,16,Bug
T-00238,email,Enterprise,Backend,Alta,0,0,892,4,0,1,1,12,Bug
T-00239,email,Enterprise,Account,Bassa,0,1,552,1,1,0,1,12,Richiesta
T-00240,form,Business,Mobile,Media,0,1,1112,1,0,2,1,15,Bug
T-00241,telefono,Business,Frontend,Alta,0,1,269,3,0,0,6,0,Incidente
T-00242,chat,Business,Fatturazione,Media,0,0,1690,0,1,0,1,12,Richiesta
T-00243,email,Business,Backend,Bassa,1,1,194,1,1,0,1,16,Bug
T-00244,form,Enterprise,Mobile,Alta,1,2,1120,2,1,2,1,11,Bug
T-00245,email,Free,Frontend,Bassa,0,1,140,1,0,0,1,16,Domanda
T-00246,email,Free,API,Bassa,0,0,684,0,0,0,1,12,Richiesta
T-00247,form,Free,Backend,Media,1,2,545,1,0,0,1,10,Bug
T-00248,telefono,Business,Fatturazione,Media,1,0,309,5,0,0,2,10,Bug
T-00249,email,Free,Frontend,Media,0,0,504,1,2,1,1,17,Domanda
T-00250,form,Business,Frontend,Bassa,0,2,1633,0,2,1,1,18,Richiesta
T-00251,chat,Business,Backend,Media,0,0,332,0,7,2,1,12,Richiesta
T-00252,email,Business,Fatturazione,Alta,1,1,603,3,0,0,3,11,Bug
T-00253,chat,Business,Mobile,Alta,1,1,549,3,0,1,1,11,Bug
T-00254,telefono,Business,Fatturazione,Media,1,0,659,2,0,0,1,14,Bug
T-00255,form,Business,API,Alta,1,0,1157,5,0,1,1,14,Bug
T-00256,email,Free,Frontend,Bassa,1,1,513,3,0,1,2,13,Bug
T-00257,form,Free,Frontend,Bassa,0,1,321,0,0,3,1,12,Domanda
T-00258,form,Free,Fatturazione,Media,0,0,300,3,0,0,2,17,Bug
T-00259,email,Business,Frontend,Bassa,0,0,285,0,2,2,1,11,Domanda
T-00260,email,Business,Account,Media,0,1,685,4,1,1,1,15,Bug
T-00261,email,Enterprise,Frontend,Bassa,0,0,636,0,0,0,1,15,Richiesta
T-00262,email,Free,Fatturazione,Media,1,0,203,0,2,1,1,12,Domanda
T-00263,form,Enterprise,Nessuno,Media,0,0,338,0,2,2,1,10,Richiesta
T-00264,email,Enterprise,Fatturazione,Media,0,1,618,0,0,1,1,15,Richiesta
T-00265,form,Business,API,Alta,1,0,1044,3,1,1,2,9,Bug
T-00266,form,Free,Frontend,Media,1,0,587,2,0,0,1,17,Bug
T-00267,email,Business,Account,Media,0,0,494,0,2,1,1,19,Domanda
T-00268,chat,Free,Account,Bassa,0,0,462,0,3,3,2,10,Domanda
T-00269,telefono,Free,Account,Media,0,1,895,2,0,0,1,8,Bug
T-00270,email,Enterprise,Mobile,Media,0,2,461,5,1,0,2,10,Bug
T-00271,form,Business,Nessuno,Media,0,0,272,0,3,3,1,14,Domanda
T-00272,form,Enterprise,Backend,Media,1,1,776,2,0,0,1,11,Bug
T-00273,form,Free,Account,Alta,1,2,878,4,0,1,1,18,Bug
T-00274,chat,Business,Fatturazione,Bassa,0,0,371,0,0,5,1,16,Domanda
T-00275,telefono,Business,Frontend,Alta,1,1,1424,4,1,1,1,11,Bug
T-00276,chat,Business,Mobile,Urgente,0,4,1488,2,0,0,1,14,Bug
T-00277,form,Business,Backend,Media,0,1,1130,3,0,0,1,5,Bug
T-00278,chat,Business,Mobile,Alta,1,2,802,1,0,0,1,13,Bug
T-00279,chat,Free,Account,Media,0,0,264,1,1,4,1,11,Domanda
T-00280,form,Business,Fatturazione,Bassa,1,1,412,4,1,0,1,11,Bug
T-00281,chat,Business,Backend,Alta,0,0,111,0,1,4,1,13,Domanda
T-00282,chat,Enterprise,Nessuno,Media,0,2,686,0,0,0,9,2,Incidente
T-00283,chat,Enterprise,Frontend,Bassa,0,0,191,1,2,2,1,18,Domanda
T-00284,chat,Business,Backend,Alta,0,1,324,2,1,0,2,11,Bug
T-00285,chat,Business,Backend,Media,0,0,169,0,1,4,1,16,Domanda
T-00286,chat,Enterprise,Nessuno,Bassa,0,0,168,1,0,3,1,12,Domanda
T-00287,form,Business,Frontend,Alta,0,4,513,0,1,0,1,18,Bug
T-00288,email,Enterprise,Frontend,Media,0,0,382,2,4,0,1,14,Richiesta
T-00289,form,Free,API,Bassa,1,0,1355,2,0,0,1,13,Bug
T-00290,form,Free,Fatturazione,Bassa,0,0,271,0,2,1,2,11,Domanda
T-00291,form,Business,Frontend,Media,0,2,361,1,0,0,1,14,Bug
T-00292,form,Free,Fatturazione,Media,0,0,463,2,2,0,1,17,Bug
T-00293,telefono,Business,API,Media,0,0,1200,1,0,0,1,15,Bug
T-00294,email,Business,API,Media,1,0,1244,3,1,1,1,13,Bug
T-00295,form,Business,Backend,Media,0,0,382,0,4,2,1,11,Richiesta
T-00296,form,Enterprise,Nessuno,Bassa,0,0,452,0,3,2,1,8,Richiesta
T-00297,chat,Free,Fatturazione,Bassa,0,0,191,0,0,1,1,13,Domanda
T-00298,email,Free,Frontend,Alta,1,4,868,5,0,1,1,10,Bug
T-00299,email,Free,Frontend,Bassa,1,2,556,4,0,1,1,10,Bug
T-00300,chat,Free,Fatturazione,Bassa,0,0,184,0,1,2,1,10,Domanda
T-00301,form,Business,Frontend,Media,0,3,275,1,1,1,1,19,Bug
T-00302,chat,Free,Nessuno,Bassa,0,0,578,0,3,0,2,17,Richiesta
T-00303,email,Business,Mobile,Media,1,3,537,2,1,1,1,8,Bug
T-00304,form,Enterprise,API,Urgente,0,2,982,2,0,1,1,10,Bug
T-00305,form,Free,Frontend,Media,0,1,301,0,3,0,1,18,Richiesta
T-00306,chat,Business,Fatturazione,Urgente,0,1,462,0,1,3,1,16,Domanda
T-00307,telefono,Business,Frontend,Media,0,1,625,6,2,0,1,12,Bug
T-00308,email,Business,Account,Bassa,0,0,635,0,3,1,1,11,Richiesta
T-00309,form,Enterprise,Frontend,Alta,0,3,738,5,1,1,1,12,Bug
T-00310,chat,Business,API,Media,0,0,1167,0,0,0,1,12,Bug
T-00311,chat,Business,Mobile,Media,0,0,362,0,2,5,1,6,Domanda
T-00312,form,Free,Fatturazione,Alta,0,0,394,0,0,3,1,9,Domanda
T-00313,form,Enterprise,Account,Alta,1,2,757,0,1,1,1,16,Bug
T-00314,chat,Business,Backend,Bassa,0,0,295,0,1,1,1,15,Domanda
T-00315,form,Business,Nessuno,Bassa,0,0,641,0,2,1,1,11,Richiesta
T-00316,form,Business,Backend,Media,0,0,692,1,4,0,1,10,Richiesta
T-00317,telefono,Business,Backend,Urgente,1,3,656,3,0,0,3,4,Incidente
T-00318,form,Free,Account,Media,0,0,945,0,4,1,1,11,Richiesta
T-00319,chat,Enterprise,Account,Media,0,1,325,0,3,0,1,7,Richiesta
T-00320,email,Enterprise,Nessuno,Media,0,0,208,1,6,4,1,13,Richiesta
T-00321,telefono,Business,Backend,Urgente,1,2,371,0,0,0,5,0,Incidente
T-00322,email,Business,Nessuno,Media,0,1,474,0,5,1,1,10,Richiesta
T-00323,form,Free,Mobile,Urgente,1,2,559,3,0,0,1,12,Bug
T-00324,email,Enterprise,Account,Bassa,0,0,282,0,1,0,2,15,Richiesta
T-00325,email,Free,Frontend,Media,0,1,1161,3,0,0,2,15,Bug
T-00326,email,Business,Nessuno,Media,0,2,398,1,2,1,1,9,Richiesta
T-00327,chat,Business,Nessuno,Alta,0,0,265,0,1,0,1,15,Domanda
T-00328,telefono,Free,Frontend,Bassa,1,0,468,3,0,1,2,16,Bug
T-00329,email,Business,Frontend,Bassa,0,4,739,4,0,1,3,9,Bug
T-00330,email,Business,Account,Urgente,0,0,513,0,2,0,1,21,Domanda
T-00331,email,Business,Mobile,Alta,1,1,781,0,0,0,1,12,Bug
T-00332,form,Business,Frontend,Media,0,0,956,0,0,0,1,10,Bug
T-00333,chat,Business,Fatturazione,Media,0,0,1150,0,2,1,1,16,Richiesta
T-00334,chat,Business,Nessuno,Media,0,1,368,1,2,1,1,13,Richiesta
T-00335,email,Business,Fatturazione,Bassa,0,1,1491,2,0,0,1,9,Bug
T-00336,form,Business,Mobile,Media,1,2,422,1,0,1,1,15,Bug
T-00337,email,Free,Backend,Media,0,1,397,1,0,2,1,10,Domanda
T-00338,form,Business,Mobile,Bassa,0,0,318,0,4,1,1,15,Richiesta
T-00339,email,Business,Fatturazione,Alta,1,1,479,5,0,0,2,19,Bug
T-00340,email,Free,Frontend,Media,0,4,1064,2,0,1,1,10,Bug
