id_cliente,piano,fatturazione,mesi_anzianita,licenze,utenti_attivi_30gg,login_medi_settimana,feature_usate,integrazioni_attive,ticket_90gg,tempo_risposta_medio_ore,ritardi_pagamento_12m,churn
C-00103,Basic,annuale,12,9,6,4.8,7,1,1,14.5,0,0
C-00104,Enterprise,annuale,10,166,147,3.9,6,0,0,6.7,1,0
C-00105,Pro,annuale,43,22,10,3.7,7,1,2,21.4,0,0
C-00106,Pro,annuale,11,36,13,4.5,4,0,2,16.3,0,0
C-00107,Basic,annuale,12,3,2,2.8,6,4,2,7.7,1,0
C-00108,Basic,annuale,8,6,5,3.8,7,2,1,9.3,0,0
C-00109,Basic,mensile,34,2,1,2.3,5,1,2,14.3,2,0
C-00110,Enterprise,mensile,40,81,61,4.8,3,0,3,19.1,0,1
C-00111,Pro,mensile,17,23,12,0.9,3,0,1,4.0,1,0
C-00112,Basic,mensile,40,1,0,4.3,6,1,3,10.4,2,0
C-00113,Basic,mensile,26,10,10,3.2,5,0,1,9.8,0,0
C-00114,Pro,annuale,8,50,40,4.6,8,1,1,7.1,1,0
C-00115,Basic,mensile,50,7,5,2.1,7,1,1,7.1,0,0
C-00116,Enterprise,annuale,8,54,38,3.3,6,1,5,18.8,1,0
C-00117,Pro,mensile,18,7,1,3.3,9,1,1,13.8,0,0
C-00118,Pro,mensile,17,27,7,3.8,6,2,3,35.4,0,0
C-00119,Basic,mensile,15,8,6,1.7,3,1,3,7.1,0,0
C-00120,Pro,mensile,3,40,34,4.1,3,3,2,10.9,0,0
C-00121,Pro,mensile,70,20,18,0.6,7,1,2,12.0,1,0
C-00122,Pro,mensile,3,6,4,2.3,5,1,1,17.1,0,0
C-00123,Basic,mensile,52,9,6,1.0,8,1,3,22.6,0,0
C-00124,Basic,mensile,10,3,2,4.4,3,3,5,10.6,0,0
C-00125,Basic,mensile,13,10,4,3.8,4,4,1,5.2,1,0
C-00126,Pro,mensile,49,9,6,3.8,7,3,2,6.5,0,0
C-00127,Basic,mensile,28,9,8,5.3,7,0,2,10.9,0,0
C-00128,Basic,mensile,6,6,4,2.8,7,1,1,19.6,2,0
C-00129,Basic,mensile,6,3,2,4.1,3,2,2,4.2,2,0
C-00130,Pro,mensile,25,50,34,3.3,5,0,4,5.0,0,0
C-00131,Basic,mensile,8,6,6,3.1,6,1,1,15.8,0,0
C-00132,Enterprise,annuale,29,42,23,5.0,8,3,2,4.6,0,0
C-00133,Pro,annuale,31,10,6,6.1,4,0,1,5.1,0,0
C-00134,Basic,annuale,11,10,7,2.6,6,1,1,19.8,0,0
C-00135,Pro,mensile,13,27,23,4.4,4,3,0,8.8,2,0
C-00136,Basic,mensile,26,4,2,3.6,7,2,3,8.4,0,0
C-00137,Enterprise,mensile,10,297,169,3.7,3,1,3,22.7,0,0
C-00138,Pro,annuale,21,32,24,3.5,12,0,5,5.3,0,0
C-00139,Pro,annuale,83,22,20,2.7,3,1,1,4.7,1,0
C-00140,Basic,annuale,27,7,7,0.0,6,0,1,26.6,1,0
C-00141,Pro,annuale,15,26,21,5.3,7,0,4,11.5,0,0
C-00142,Pro,mensile,74,35,12,2.2,4,3,0,15.0,1,0
C-00143,Enterprise,annuale,36,60,30,2.9,4,0,4,8.3,1,0
C-00144,Pro,annuale,8,26,21,2.9,6,2,4,9.4,1,0
C-00145,Pro,mensile,10,10,9,2.1,6,4,1,6.6,0,0
C-00146,Basic,annuale,4,9,6,3.5,6,0,4,12.1,0,0
C-00147,Basic,mensile,25,1,1,3.1,6,2,3,16.5,1,0
C-00148,Pro,annuale,2,28,24,2.2,4,1,2,11.2,0,0
C-00149,Basic,annuale,74,7,3,3.4,8,0,2,18.9,0,0
C-00150,Basic,mensile,16,10,1,3.2,4,0,2,14.9,1,0
C-00151,Pro,annuale,37,37,14,4.5,6,3,0,5.3,1,0
C-00152,Enterprise,mensile,15,30,14,1.3,8,1,2,9.2,0,0
C-00153,Basic,annuale,25,2,1,2.1,8,0,4,7.6,0,0
C-00154,Pro,annuale,18,11,4,4.2,4,0,3,15.7,0,0
C-00155,Basic,annuale,21,8,6,2.3,4,1,3,13.2,0,0
C-00156,Pro,annuale,45,31,20,1.9,6,1,3,10.8,0,0
C-00157,Basic,mensile,60,8,5,2.4,5,1,1,18.4,0,0
C-00158,Pro,mensile,57,16,9,3.1,6,3,1,3.3,0,0
C-00159,Pro,mensile,84,17,11,3.1,5,2,1,7.0,0,0
C-00160,Pro,mensile,11,18,6,2.9,4,0,2,7.3,3,1
C-00161,Basic,mensile,27,10,7,1.8,5,2,2,11.6,0,1
C-00162,Enterprise,mensile,11,249,188,4.3,6,2,1,13.9,0,0
C-00163,Basic,mensile,44,4,3,5.1,7,1,0,10.0,0,0
C-00164,Basic,mensile,9,1,1,0.5,5,1,3,4.5,0,0
C-00165,Pro,annuale,46,30,26,1.0,3,0,1,12.8,0,0
C-00166,Basic,mensile,23,10,8,4.6,5,1,5,10.8,1,0
C-00167,Pro,annuale,19,39,31,5.4,6,0,4,4.1,1,0
C-00168,Pro,mensile,20,25,18,0.2,7,3,2,8.4,0,0
C-00169,Basic,mensile,7,8,5,4.3,7,2,1,12.5,0,0
C-00170,Enterprise,mensile,8,162,136,5.5,8,0,4,27.0,0,0
C-00171,Basic,mensile,24,10,5,2.0,6,0,1,5.2,0,1
C-00172,Pro,mensile,24,6,3,5.4,7,1,2,16.1,0,0
C-00173,Basic,mensile,12,10,3,3.0,4,1,3,5.2,0,0
C-00174,Enterprise,mensile,16,184,131,3.6,6,2,2,4.7,0,0
C-00175,Basic,mensile,28,8,7,2.2,6,1,4,4.8,0,0
C-00176,Basic,annuale,10,4,3,4.6,7,1,3,14.4,1,0
C-00177,Basic,mensile,3,7,3,4.4,7,0,6,10.8,0,0
C-00178,Enterprise,annuale,54,85,61,5.6,4,0,2,8.3,1,0
C-00179,Enterprise,mensile,25,298,266,5.2,7,1,1,13.2,0,0
C-00180,Pro,annuale,14,16,11,3.2,8,2,3,10.2,1,0
C-00181,Enterprise,annuale,11,45,30,7.0,8,2,1,10.7,1,0
C-00182,Enterprise,annuale,10,127,106,5.1,5,0,1,8.3,1,0
C-00183,Pro,annuale,44,5,3,4.0,9,0,3,5.4,1,0
C-00184,Basic,mensile,6,5,2,1.8,7,3,1,27.6,0,1
C-00185,Pro,mensile,27,40,33,1.1,6,2,2,23.2,0,0
C-00186,Pro,mensile,27,22,18,1.2,5,0,2,26.0,2,1
C-00187,Basic,annuale,34,8,6,1.9,7,1,4,7.2,0,0
C-00188,Basic,annuale,15,7,3,5.1,7,1,2,6.6,1,0
C-00189,Pro,mensile,51,24,18,3.9,6,3,0,7.8,1,0
C-00190,Basic,annuale,35,7,5,2.3,10,1,2,19.0,0,0
C-00191,Enterprise,mensile,14,78,60,3.0,4,0,1,10.0,1,0
C-00192,Basic,annuale,11,3,2,2.8,6,2,1,7.2,0,0
C-00193,Basic,annuale,18,1,1,4.3,5,1,0,12.4,0,0
C-00194,Pro,mensile,14,39,27,2.0,5,0,2,6.4,1,0
C-00195,Basic,annuale,9,8,7,3.7,5,2,2,4.4,1,0
C-00196,Basic,annuale,21,9,8,3.6,5,2,1,10.8,0,0
C-00197,Pro,mensile,16,49,29,2.0,5,0,2,7.3,0,0
C-00198,Enterprise,mensile,59,30,28,5.4,3,1,2,9.9,1,0
C-00199,Basic,mensile,14,2,1,2.8,2,0,0,2.0,1,1
C-00200,Basic,annuale,11,5,1,1.8,6,0,3,5.9,1,1
C-00201,Pro,mensile,20,38,21,4.4,5,0,3,9.7,0,0
C-00202,Enterprise,annuale,24,219,177,3.3,2,1,4,4.0,0,0
C-00203,Pro,annuale,26,11,7,3.8,3,1,1,4.1,0,0
C-00204,Basic,mensile,25,4,3,1.5,4,0,1,10.2,0,1
C-00205,Basic,mensile,21,10,3,4.3,3,0,4,15.2,1,1
C-00206,Basic,annuale,20,8,5,6.2,8,3,0,5.9,0,0
C-00207,Basic,annuale,31,4,2,1.4,6,1,1,8.5,0,0
C-00208,Pro,mensile,9,20,13,3.7,5,0,3,8.7,1,0
C-00209,Basic,mensile,11,2,1,2.1,6,1,1,3.9,0,0
C-00210,Pro,mensile,5,36,23,7.0,3,1,3,20.3,1,0
C-00211,Pro,annuale,9,22,12,4.9,6,1,1,9.0,0,0
C-00212,Pro,mensile,41,7,4,3.6,9,2,2,9.0,0,0
C-00213,Basic,annuale,30,5,4,1.5,3,1,1,12.5,1,0
C-00214,Pro,mensile,64,42,30,1.8,4,0,2,3.9,1,0
C-00215,Pro,annuale,54,46,33,4.2,6,2,4,17.4,1,0
C-00216,Pro,mensile,30,50,28,1.3,4,1,2,18.8,0,0
C-00217,Basic,mensile,22,2,2,1.3,3,1,1,10.9,0,0
C-00218,Basic,annuale,20,2,2,3.2,6,1,1,13.2,1,0
C-00219,Enterprise,annuale,2,148,117,3.4,6,1,2,8.2,0,0
C-00220,Basic,mensile,19,10,8,3.7,4,1,3,16.8,0,0
C-00221,Basic,mensile,13,5,2,2.6,7,0,2,6.1,0,1
C-00222,Pro,mensile,9,22,14,4.5,3,1,2,9.8,0,0
C-00223,Pro,mensile,27,47,35,2.0,5,2,0,10.2,0,0
C-00224,Enterprise,mensile,17,172,98,4.1,6,1,0,9.8,1,0
C-00225,Basic,annuale,21,6,4,3.5,6,0,6,19.0,0,0
C-00226,Enterprise,mensile,8,236,154,4.0,6,3,2,37.2,0,0
C-00227,Basic,annuale,36,7,6,4.9,6,1,2,9.4,1,0
C-00228,Pro,mensile,14,32,27,2.6,6,0,2,13.3,3,1
C-00229,Pro,mensile,26,40,35,2.3,7,1,5,6.2,1,0
C-00230,Basic,annuale,15,7,6,0.8,6,0,4,18.6,1,0
C-00231,Basic,mensile,2,10,7,0.4,5,1,2,7.3,2,1
C-00232,Basic,annuale,28,9,8,3.0,7,2,2,66.0,0,0
C-00233,Enterprise,mensile,18,214,113,3.0,4,0,3,3.7,1,0
C-00234,Pro,annuale,4,19,18,1.7,7,2,3,36.3,0,0
C-00235,Enterprise,annuale,7,198,126,2.0,4,1,3,18.1,0,0
C-00236,Pro,annuale,37,21,19,5.3,5,1,2,5.1,0,0
C-00237,Pro,mensile,5,15,7,4.4,6,0,4,40.2,0,1
C-00238,Pro,mensile,14,36,27,1.4,6,1,2,5.7,1,0
C-00239,Basic,mensile,68,6,5,2.6,3,0,2,8.3,1,0
C-00240,Basic,mensile,28,7,4,3.8,5,1,2,4.6,0,0
C-00241,Pro,mensile,33,35,15,2.3,7,1,2,9.2,1,0
C-00242,Pro,mensile,16,49,12,2.1,10,1,3,9.7,1,0
C-00243,Basic,mensile,4,9,4,2.7,5,3,2,16.5,0,0
C-00244,Pro,mensile,23,18,13,4.7,3,2,3,43.2,1,0
C-00245,Pro,mensile,8,46,42,4.9,5,3,3,7.4,0,0
C-00246,Enterprise,mensile,7,30,14,2.2,5,1,1,1.9,0,0
C-00247,Pro,mensile,21,30,10,3.8,3,3,1,14.8,0,0
C-00248,Basic,annuale,8,10,6,3.2,7,3,2,7.2,1,0
C-00249,Basic,mensile,19,3,1,1.8,6,2,1,29.8,0,0
C-00250,Basic,mensile,11,4,2,2.8,5,0,2,9.8,0,0
C-00251,Pro,mensile,19,49,23,1.4,5,0,4,6.3,0,0
C-00252,Enterprise,annuale,13,114,100,4.8,2,2,0,5.4,1,0
C-00253,Pro,mensile,19,13,5,5.4,5,1,1,14.5,1,0
C-00254,Basic,annuale,51,2,2,2.6,5,1,2,8.5,0,0
C-00255,Basic,annuale,34,5,3,2.3,5,1,2,24.1,1,0
C-00256,Pro,mensile,18,26,19,4.7,6,1,1,8.8,1,0
C-00257,Pro,annuale,46,48,23,4.9,5,3,2,23.4,0,0
C-00258,Basic,annuale,26,1,1,1.6,6,1,0,4.4,0,0
C-00259,Basic,mensile,44,5,2,3.0,7,0,1,3.5,0,0
C-00260,Pro,mensile,5,33,25,3.1,5,0,6,16.4,1,1
C-00261,Basic,annuale,8,1,1,2.1,5,0,1,7.6,0,0
C-00262,Pro,annuale,23,43,37,3.7,7,2,3,8.5,0,0
C-00263,Basic,mensile,17,6,3,2.2,5,2,1,5.4,2,0
C-00264,Basic,mensile,19,4,2,2.4,5,4,3,5.2,1,0
C-00265,Enterprise,annuale,29,60,42,3.1,7,0,2,14.6,0,0
C-00266,Basic,mensile,23,2,2,1.1,6,2,3,9.9,1,0
C-00267,Basic,annuale,36,9,3,0.3,8,0,0,5.3,2,0
C-00268,Basic,mensile,36,8,6,4.5,5,1,2,16.1,0,0
C-00269,Basic,annuale,8,7,4,2.2,5,2,2,20.2,1,0
C-00270,Basic,annuale,2,9,6,6.2,3,1,3,9.4,0,0
C-00271,Basic,annuale,8,1,0,6.0,4,3,0,18.3,1,0
C-00272,Basic,annuale,8,7,5,2.5,6,3,4,5.5,0,0
C-00273,Basic,annuale,20,8,5,6.5,4,1,0,14.1,1,0
C-00274,Pro,annuale,20,14,7,4.5,5,1,2,11.0,0,0
C-00275,Pro,annuale,16,21,9,2.3,4,1,2,6.2,0,0
C-00276,Basic,mensile,27,8,6,0.0,2,2,2,34.3,1,1
C-00277,Basic,annuale,84,7,4,4.2,5,0,2,11.5,0,0
C-00278,Pro,mensile,16,46,14,3.2,6,1,3,7.0,2,1
C-00279,Enterprise,annuale,23,152,58,3.8,5,0,2,10.1,0,0
C-00280,Enterprise,annuale,19,131,59,2.9,7,1,2,5.9,0,0
C-00281,Basic,mensile,12,1,1,1.6,4,1,2,5.0,1,0
C-00282,Basic,mensile,30,6,4,2.6,3,0,1,7.6,0,0
C-00283,Basic,mensile,16,6,5,4.2,8,2,3,8.0,1,0
C-00284,Basic,annuale,10,4,4,2.7,8,1,1,6.2,0,0
C-00285,Pro,mensile,10,25,14,2.7,5,2,2,21.2,0,0
C-00286,Basic,mensile,37,1,1,1.1,5,0,3,6.3,1,0
C-00287,Basic,annuale,29,8,6,3.3,7,2,1,5.7,0,0
C-00288,Basic,annuale,13,9,7,1.6,6,2,0,4.9,0,0
C-00289,Pro,mensile,27,15,12,4.5,3,2,2,4.6,0,0
C-00290,Basic,mensile,19,10,9,2.2,3,2,3,18.5,2,0
C-00291,Pro,annuale,24,23,13,2.8,3,2,2,11.7,0,0
C-00292,Basic,annuale,12,7,4,6.2,7,1,4,15.1,0,0
C-00293,Enterprise,annuale,8,244,222,2.8,6,0,3,18.4,0,0
C-00294,Basic,mensile,15,10,5,2.6,4,1,3,8.2,1,0
C-00295,Pro,mensile,9,14,9,4.0,4,2,0,24.2,0,0
C-00296,Enterprise,mensile,8,158,143,0.7,3,1,1,6.9,0,0
C-00297,Enterprise,annuale,5,92,59,5.0,7,1,2,5.2,1,0
C-00298,Pro,mensile,2,44,29,4.6,7,3,3,12.5,2,0
C-00299,Pro,mensile,13,27,16,3.9,6,3,2,10.9,1,0
C-00300,Pro,annuale,42,46,33,0.0,7,2,2,10.9,0,0
C-00301,Pro,annuale,35,18,12,2.8,4,2,2,18.4,0,0
C-00302,Basic,annuale,56,4,2,1.4,6,0,1,10.7,0,0
C-00303,Pro,mensile,8,16,11,4.8,5,0,2,12.1,0,1
C-00304,Pro,mensile,31,7,5,4.7,3,1,4,22.6,1,0
C-00305,Enterprise,mensile,17,94,48,3.7,5,0,1,11.7,0,0
C-00306,Pro,mensile,10,39,33,1.5,7,1,3,13.5,0,0
C-00307,Basic,mensile,39,4,4,5.3,3,2,1,4.3,0,0
C-00308,Pro,mensile,18,47,32,2.8,5,1,1,93.1,1,1
C-00309,Basic,annuale,3,8,7,5.7,7,3,1,3.9,0,0
C-00310,Basic,annuale,35,8,4,3.6,7,0,2,7.2,1,0
C-00311,Pro,annuale,25,37,32,3.9,5,0,1,7.1,0,0
C-00312,Basic,mensile,21,3,2,2.6,4,1,0,35.4,0,0
C-00313,Basic,mensile,7,7,5,5.2,7,1,1,7.0,2,0
C-00314,Basic,mensile,23,4,2,4.1,4,1,2,13.0,0,0
C-00315,Basic,mensile,51,9,5,5.2,4,1,3,7.1,1,0
C-00316,Basic,mensile,25,5,2,3.4,3,1,7,5.4,1,1
C-00317,Basic,mensile,5,9,5,3.1,5,1,2,14.1,3,0
C-00318,Pro,annuale,26,7,4,4.0,6,2,0,6.5,0,0
C-00319,Basic,mensile,25,8,5,5.2,7,0,3,11.3,0,0
C-00320,Enterprise,annuale,33,42,30,4.6,5,0,1,14.6,0,0
C-00321,Enterprise,mensile,25,255,169,3.4,9,2,2,31.4,1,0
C-00322,Pro,mensile,8,47,33,0.6,6,1,1,4.7,0,0
C-00323,Basic,mensile,20,6,3,4.3,6,1,5,9.1,0,0
C-00324,Pro,mensile,16,48,16,1.2,4,1,1,9.4,2,0
C-00325,Pro,mensile,22,15,9,3.2,4,1,2,10.0,0,0
C-00326,Pro,annuale,40,50,19,3.0,6,1,2,46.7,0,0
C-00327,Pro,mensile,11,25,16,1.2,6,0,2,9.0,1,0
C-00328,Pro,mensile,62,26,23,3.7,4,2,5,2.2,0,0
C-00329,Pro,annuale,26,7,5,6.2,5,1,0,8.9,0,0
C-00330,Basic,mensile,35,6,4,2.8,5,0,0,9.3,0,0
C-00331,Pro,annuale,32,13,9,4.3,5,0,3,8.7,0,0
C-00332,Basic,mensile,25,2,1,6.5,4,2,0,6.5,0,0
C-00333,Pro,annuale,29,13,11,4.4,4,1,3,4.5,1,0
C-00334,Enterprise,mensile,1,80,74,2.3,5,0,3,36.5,0,0
C-00335,Basic,mensile,32,2,1,3.5,7,3,3,12.1,0,0
C-00336,Pro,annuale,9,45,35,3.9,7,0,0,8.9,3,0
C-00337,Basic,annuale,18,4,2,5.2,3,2,3,35.8,1,0
C-00338,Pro,mensile,25,30,21,4.9,3,0,0,5.9,0,0
C-00339,Basic,annuale,41,1,0,0.0,5,1,2,14.4,2,1
C-00340,Enterprise,mensile,9,165,36,2.0,4,2,1,4.7,0,0
C-00341,Basic,mensile,13,8,6,3.1,7,1,3,15.7,0,1
C-00342,Enterprise,mensile,15,64,36,1.8,5,3,4,5.1,2,1
C-00343,Pro,annuale,22,48,29,0.0,7,1,2,13.3,0,0
C-00344,Pro,mensile,16,23,8,2.2,3,1,0,32.3,0,0
C-00345,Pro,annuale,29,9,8,3.2,9,0,0,10.6,1,0
C-00346,Pro,mensile,4,44,33,2.5,7,0,1,2.7,0,0
C-00347,Enterprise,annuale,17,178,155,1.8,6,0,0,10.2,0,0
C-00348,Basic,annuale,55,5,3,3.3,8,3,1,13.3,1,0
C-00349,Pro,mensile,16,8,4,3.7,5,3,3,17.2,0,0
C-00350,Basic,mensile,26,1,0,2.5,4,2,2,24.2,0,0
C-00351,Pro,mensile,37,15,13,5.1,5,1,1,25.0,0,0
C-00352,Basic,annuale,26,7,3,3.3,7,2,3,9.2,0,0
C-00353,Pro,mensile,66,29,17,2.0,7,1,0,6.7,0,0
C-00354,Pro,mensile,21,23,14,1.6,5,0,5,5.1,1,0
C-00355,Pro,mensile,30,40,23,2.9,6,1,1,7.2,0,0
C-00356,Pro,annuale,23,9,5,4.8,4,1,2,13.3,1,0
C-00357,Pro,mensile,48,38,24,2.0,4,0,0,4.5,0,0
C-00358,Pro,mensile,14,47,39,4.0,6,1,2,5.7,0,0
C-00359,Pro,annuale,69,11,9,3.3,5,1,0,14.0,2,0
C-00360,Pro,mensile,11,35,27,6.0,4,1,4,6.8,0,0
C-00361,Enterprise,annuale,58,265,31,3.7,7,0,1,12.5,0,0
C-00362,Basic,mensile,8,4,3,2.2,6,0,1,6.1,2,1
C-00363,Basic,mensile,31,10,3,4.2,5,2,2,11.9,0,0
C-00364,Basic,annuale,19,8,3,4.3,4,0,2,6.3,0,0
C-00365,Pro,annuale,36,44,26,2.6,4,0,4,3.2,0,0
C-00366,Basic,annuale,27,4,3,1.6,6,0,5,17.7,1,0
C-00367,Pro,mensile,35,9,7,4.0,7,0,1,6.6,0,0
C-00368,Pro,mensile,8,16,11,3.3,4,1,2,8.6,1,0
C-00369,Basic,mensile,4,6,4,1.1,7,1,1,6.6,1,0
C-00370,Enterprise,mensile,7,178,150,3.6,7,2,3,13.9,1,0
