id_pr,tipo,righe_aggiunte,righe_rimosse,file_modificati,moduli_toccati,complessita_media,test_aggiunti,copertura_modulo,esperienza_autore_mesi,commit_autore_modulo,reviewer,commenti_review,ora_merge,giorno_merge,bug_entro_30gg
1136,feature,45,97,3,2,11.3,1,81.9,12,3,1,1,16,Ven,0
1137,feature,47,34,3,2,12.2,1,71.4,19,4,2,8,20,Lun,0
1138,feature,17,160,5,1,4.4,0,29.6,3,0,1,4,8,Lun,0
1139,refactor,77,11,3,2,7.4,1,88.9,39,9,2,5,14,Mar,0
1140,refactor,86,9,3,2,15.0,1,46.5,58,15,1,3,13,Mer,0
1141,feature,25,3,1,2,10.4,1,54.6,23,5,1,5,8,Ven,0
1142,fix,81,31,2,2,25.1,1,84.2,37,14,1,3,13,Mar,0
1143,feature,282,13,6,3,5.6,0,47.1,21,4,1,8,14,Mer,0
1144,refactor,29,114,3,2,1.2,0,58.4,38,4,1,3,15,Lun,0
1145,fix,16,50,6,3,18.7,1,72.1,8,0,1,2,9,Gio,0
1146,feature,700,14,13,4,12.1,1,37.7,45,16,2,9,16,Mar,0
1147,feature,37,146,7,2,7.9,1,27.5,75,26,1,4,9,Ven,0
1148,refactor,10,157,4,2,5.4,1,61.0,23,5,2,2,15,Ven,0
1149,feature,32,18,1,1,16.8,0,49.4,41,12,0,1,10,Gio,0
1150,refactor,188,6,3,1,8.2,0,37.4,49,10,2,1,12,Mar,0
1151,fix,27,13,4,1,12.2,0,18.2,17,4,2,2,8,Gio,1
1152,fix,36,211,4,1,3.3,0,84.6,21,6,2,3,16,Mar,0
1153,feature,12,15,2,2,9.4,0,63.6,43,8,1,6,11,Mar,0
1154,fix,178,30,3,1,7.3,0,70.2,16,3,1,7,18,Ven,1
1155,refactor,25,26,2,1,9.5,1,31.2,60,12,2,2,11,Lun,0
1156,feature,22,65,1,1,15.8,0,32.8,15,1,2,2,9,Mer,0
1157,feature,134,17,4,1,14.6,1,66.4,18,3,1,7,1,Gio,0
1158,refactor,15,156,6,3,9.5,0,44.4,24,4,0,3,15,Ven,0
1159,fix,414,20,9,3,14.9,0,80.3,23,9,1,8,16,Mer,1
1160,feature,99,18,4,2,8.3,0,39.1,22,5,2,3,11,Lun,0
1161,feature,70,235,5,2,10.1,0,78.5,13,5,3,5,17,Gio,0
1162,fix,179,20,3,1,22.2,0,57.0,26,6,1,4,9,Gio,0
1163,feature,26,4,2,1,17.1,1,59.8,65,14,2,2,19,Mar,0
1164,fix,32,77,4,1,5.1,0,66.7,17,3,1,4,15,Mer,0
1165,feature,303,45,7,2,3.5,1,76.0,17,2,1,2,21,Ven,1
1166,fix,102,140,6,2,5.5,0,54.9,33,6,1,7,14,Mar,0
1167,refactor,11,17,1,2,8.7,1,47.0,72,20,2,5,14,Ven,0
1168,refactor,494,106,11,3,9.9,1,57.3,5,2,1,3,12,Gio,0
1169,fix,63,3,3,2,8.7,0,81.4,31,9,1,2,18,Gio,0
1170,fix,113,28,2,2,5.8,1,53.5,45,9,1,6,14,Lun,0
1171,feature,99,13,2,1,9.6,1,53.7,32,9,1,3,14,Ven,0
1172,fix,206,199,10,3,8.8,1,73.6,62,17,1,0,11,Mer,0
1173,fix,111,68,9,3,9.3,0,93.2,106,14,1,2,15,Lun,0
1174,feature,21,7,1,1,6.0,1,77.6,21,5,2,2,17,Lun,0
1175,fix,198,99,6,2,4.9,0,59.8,35,9,1,6,11,Lun,0
1176,feature,16,53,2,1,4.9,1,40.9,15,3,2,1,17,Ven,0
1177,fix,119,24,3,1,2.4,1,42.6,66,18,1,7,12,Gio,0
1178,feature,73,23,5,1,15.6,1,38.6,23,5,1,5,20,Gio,1
1179,feature,44,5,5,2,14.3,1,40.1,34,8,2,3,17,Lun,0
1180,fix,37,9,2,2,10.6,1,40.7,38,11,3,3,7,Mar,0
1181,feature,47,21,2,2,7.8,0,45.9,45,9,0,1,10,Mer,0
1182,feature,25,74,3,1,11.8,1,64.4,27,7,3,3,17,Lun,0
1183,refactor,183,93,6,2,8.4,0,62.9,31,6,1,6,14,Gio,0
1184,refactor,188,5,4,1,3.3,0,51.7,24,4,2,8,16,Lun,0
1185,feature,116,3,6,2,8.7,1,76.6,20,2,2,6,11,Mar,0
1186,feature,21,90,3,1,10.3,1,44.8,9,1,1,3,14,Mer,0
1187,refactor,205,33,4,2,7.7,0,61.4,103,22,1,2,11,Gio,0
1188,feature,9,22,2,2,17.1,0,60.1,19,3,3,7,14,Mer,0
1189,fix,192,10,4,1,7.9,1,61.7,30,4,2,3,15,Gio,0
1190,fix,315,15,7,3,2.5,1,51.4,19,3,1,3,18,Mar,0
1191,feature,54,147,9,2,10.0,0,65.7,89,22,3,6,12,Ven,0
1192,feature,103,9,3,1,9.7,1,54.8,22,3,3,6,19,Lun,0
1193,feature,178,10,5,1,7.4,1,24.2,114,35,1,6,18,Mar,0
1194,fix,154,67,8,3,7.8,0,84.4,2,0,1,6,15,Gio,1
1195,feature,17,77,2,2,8.5,0,49.1,6,2,2,3,12,Ven,0
1196,refactor,130,8,4,2,6.8,1,66.4,25,9,2,3,9,Ven,1
1197,feature,63,7,4,1,4.9,0,51.5,18,4,0,1,16,Mar,0
1198,feature,89,14,2,1,14.1,1,61.5,5,3,2,3,17,Lun,0
1199,feature,18,15,4,1,2.7,0,77.7,50,12,1,4,17,Mar,0
1200,fix,118,38,3,2,18.5,1,45.8,10,1,1,4,18,Mar,0
1201,feature,471,9,10,2,5.7,0,62.2,28,2,0,1,17,Lun,1
1202,feature,1262,9,23,5,4.6,1,74.5,10,6,1,5,11,Lun,1
1203,feature,80,2,2,2,2.5,1,67.1,27,5,0,0,11,Ven,0
1204,feature,41,141,5,2,7.8,0,48.3,11,3,3,4,15,Gio,0
1205,fix,158,18,5,1,11.5,0,73.0,5,1,1,4,17,Ven,0
1206,feature,332,26,7,2,6.5,1,50.2,28,9,1,0,20,Mar,0
1207,refactor,42,19,5,2,10.1,0,56.0,17,6,2,5,16,Gio,0
1208,feature,10,3,1,1,3.1,0,74.9,88,20,2,1,16,Mar,0
1209,fix,103,6,3,1,7.0,1,64.9,98,23,1,4,10,Mer,0
1210,fix,65,14,6,2,6.2,1,73.4,10,4,0,3,14,Mer,0
1211,feature,40,26,3,2,1.4,1,77.7,6,1,1,3,16,Mer,1
1212,refactor,152,38,6,2,18.2,1,54.3,12,3,1,3,15,Gio,0
1213,feature,129,4,4,2,11.5,1,58.5,148,46,0,0,9,Lun,0
1214,refactor,99,29,3,2,6.5,1,52.5,43,13,1,4,16,Lun,0
1215,refactor,29,102,4,2,18.0,1,28.3,32,11,2,5,17,Mer,0
1216,feature,50,15,1,1,9.3,0,36.8,35,9,1,4,8,Lun,0
1217,refactor,544,6,10,2,5.8,0,64.7,6,2,1,7,10,Mer,1
1218,refactor,26,7,1,1,1.6,0,86.0,15,6,2,1,21,Mar,0
1219,refactor,67,58,5,1,8.8,0,58.3,28,8,1,7,14,Mar,0
1220,fix,52,22,2,2,15.5,0,77.2,43,10,0,1,14,Lun,0
1221,refactor,97,75,5,1,5.8,1,59.4,27,7,2,1,16,Gio,0
1222,feature,18,5,5,1,12.7,1,69.3,26,9,3,3,14,Lun,0
1223,fix,104,11,4,1,4.8,0,59.6,22,3,2,6,10,Mer,0
1224,feature,108,66,8,3,4.1,1,64.6,20,2,1,1,15,Lun,0
1225,feature,299,106,8,2,5.9,1,57.2,66,11,1,4,9,Gio,0
1226,feature,366,8,7,3,10.0,1,54.4,12,5,1,4,22,Mer,0
1227,fix,20,79,3,1,1.2,0,73.2,17,3,2,1,15,Lun,0
1228,fix,9,7,1,1,13.6,1,50.3,21,4,2,2,3,Mer,0
1229,refactor,84,45,3,2,11.9,0,35.7,27,8,1,5,17,Gio,0
1230,feature,46,71,4,2,5.6,1,69.5,5,2,2,6,14,Ven,0
1231,fix,31,21,2,1,18.2,1,38.3,80,28,2,4,15,Lun,0
1232,fix,22,14,3,1,10.5,0,26.1,14,5,2,3,13,Ven,0
1233,fix,36,17,2,2,6.9,0,60.2,8,4,1,2,17,Mer,0
1234,feature,328,38,6,2,14.6,0,77.4,28,6,2,7,10,Lun,0
1235,fix,52,18,2,1,8.2,1,77.9,42,11,3,2,11,Mar,0
1236,feature,818,234,18,5,19.6,1,51.3,97,27,1,5,17,Gio,0
1237,feature,29,19,2,1,10.3,0,67.2,84,26,0,0,14,Gio,0
1238,feature,135,342,8,3,8.1,1,69.4,33,8,1,3,5,Mer,0
1239,feature,91,58,5,1,8.9,1,75.1,25,5,1,2,14,Lun,0
1240,refactor,158,8,4,1,1.7,1,61.2,11,4,1,5,11,Ven,0
1241,feature,598,88,11,4,6.0,0,71.4,55,21,1,4,11,Lun,0
1242,refactor,133,17,4,2,3.9,1,79.5,18,6,1,5,21,Gio,0
1243,fix,314,170,9,3,6.1,0,82.1,43,11,2,6,16,Lun,1
1244,feature,118,79,4,1,5.3,0,47.5,31,5,2,6,16,Lun,0
1245,feature,58,63,3,1,14.3,0,58.1,70,12,1,3,9,Mar,0
1246,fix,93,24,2,1,15.3,0,38.0,23,3,1,2,5,Mer,1
1247,feature,33,28,3,2,6.3,0,79.6,21,7,2,6,9,Gio,0
1248,feature,90,86,4,2,2.7,0,62.4,8,1,1,3,12,Gio,0
1249,feature,233,6,8,3,9.6,1,90.3,55,10,1,4,6,Ven,0
1250,refactor,42,51,3,1,7.8,0,79.1,12,6,1,2,14,Lun,0
1251,fix,700,26,12,4,18.6,1,56.4,6,2,2,2,9,Mar,1
1252,feature,5,19,3,1,6.5,1,68.9,6,4,1,3,13,Gio,0
1253,fix,160,51,6,2,7.8,1,77.0,44,7,1,4,9,Ven,0
1254,feature,77,46,5,2,8.3,1,30.7,31,13,1,4,10,Gio,0
1255,refactor,43,38,1,2,5.7,0,65.7,37,7,1,2,17,Ven,0
1256,refactor,44,29,1,2,5.1,0,71.5,19,7,1,2,17,Gio,0
1257,feature,196,66,6,3,10.1,1,64.7,30,7,1,4,13,Gio,0
1258,feature,99,20,4,2,3.1,0,31.6,30,8,3,5,10,Gio,0
1259,feature,206,95,7,3,9.8,0,77.3,44,10,2,5,18,Mar,0
1260,feature,507,22,12,4,3.9,1,66.1,10,2,1,7,11,Mer,0
1261,feature,8,15,1,2,5.3,0,77.0,45,8,3,2,14,Gio,0
1262,feature,6,4,1,1,9.9,0,72.8,8,2,2,1,9,Gio,0
1263,feature,28,19,3,2,1.6,1,73.1,21,2,0,2,2,Mer,0
1264,feature,95,24,4,1,10.4,0,45.5,29,5,1,5,23,Mer,1
1265,refactor,67,43,4,1,9.6,0,28.1,27,4,2,2,7,Gio,0
1266,refactor,17,4,4,2,17.8,1,56.8,33,7,1,3,6,Mar,0
1267,fix,44,13,2,1,6.4,0,87.1,16,3,1,4,10,Mar,0
1268,fix,59,163,6,3,3.5,1,43.2,10,4,1,4,7,Gio,1
1269,feature,68,57,2,2,5.8,1,50.7,2,0,2,6,8,Mer,0
1270,refactor,34,13,3,2,11.1,1,68.7,23,12,1,2,10,Lun,0
1271,refactor,382,101,9,2,10.0,1,84.6,67,16,2,5,15,Gio,0
1272,feature,7,20,1,1,3.2,0,58.6,49,12,1,4,18,Ven,0
1273,feature,67,17,1,2,8.2,1,39.8,39,6,1,3,14,Mer,0
1274,fix,46,26,3,2,13.1,0,85.6,27,7,0,1,4,Lun,0
1275,refactor,28,5,2,1,10.2,0,62.4,28,7,1,4,14,Lun,0
1276,feature,17,1,1,2,14.9,0,71.6,45,16,2,2,15,Gio,0
1277,feature,11,22,4,1,20.8,1,63.5,71,21,1,6,9,Mar,0
1278,feature,68,28,4,2,7.7,1,77.6,102,25,1,3,18,Ven,0
1279,fix,22,26,2,1,4.7,0,59.2,54,15,2,1,14,Mar,0
1280,fix,21,90,2,1,8.4,1,34.8,21,3,1,5,11,Gio,0
1281,feature,13,63,3,2,17.0,1,50.9,37,15,2,4,11,Mer,0
1282,feature,41,9,2,1,5.8,1,63.1,104,24,1,2,19,Mer,0
1283,feature,23,47,3,1,1.8,1,51.4,29,7,1,3,6,Gio,0
1284,feature,315,23,9,3,2.2,0,53.2,1,0,2,6,15,Lun,1
1285,refactor,41,106,4,2,5.0,0,78.6,45,15,1,5,11,Gio,0
1286,feature,34,50,3,2,13.0,0,64.2,31,8,2,3,8,Lun,0
1287,feature,101,22,2,2,19.3,0,40.2,26,6,1,3,12,Mar,0
1288,feature,20,33,3,2,14.9,1,62.7,24,7,1,2,10,Mar,0
1289,fix,105,28,4,1,5.6,0,66.8,19,5,1,3,15,Lun,0
1290,fix,96,53,3,1,3.6,0,50.0,98,24,1,3,12,Mar,0
1291,fix,46,6,3,1,6.3,0,88.4,17,3,1,3,14,Mer,0
1292,refactor,37,62,3,2,13.5,1,76.3,17,4,2,4,3,Mar,0
1293,refactor,59,17,2,2,3.6,0,75.8,14,4,1,2,17,Mar,0
1294,feature,129,11,5,2,8.1,1,68.3,87,25,1,4,11,Ven,0
1295,feature,241,55,6,3,8.6,0,85.3,7,4,1,3,10,Gio,0
1296,fix,15,153,4,1,7.6,0,51.3,46,16,2,3,13,Mer,0
1297,fix,69,11,3,1,7.6,0,55.8,11,4,2,3,12,Ven,0
1298,feature,102,9,2,1,17.2,1,16.3,12,4,3,2,13,Mar,0
1299,feature,45,9,3,1,7.3,0,43.6,17,2,2,3,15,Mar,0
1300,fix,207,163,8,3,18.5,1,88.0,39,12,1,3,15,Mer,0
1301,feature,42,146,5,2,3.7,0,65.9,14,8,2,2,10,Ven,0
1302,fix,29,10,4,1,4.8,0,82.2,8,3,2,3,15,Mer,0
1303,feature,23,26,4,2,5.7,0,54.7,40,12,1,3,13,Lun,0
1304,feature,7,31,3,1,6.5,1,44.4,52,11,2,1,15,Lun,0
1305,feature,276,88,8,3,4.6,0,28.7,3,1,1,6,10,Mar,1
1306,feature,31,9,1,1,8.7,0,60.5,16,3,2,3,10,Mer,0
1307,fix,288,7,8,3,9.8,1,35.2,48,12,1,1,11,Mar,0
1308,refactor,184,16,3,1,1.3,0,53.4,10,1,1,3,10,Mar,0
1309,feature,34,87,4,1,17.9,1,70.3,32,8,2,4,18,Mar,0
1310,feature,145,40,5,2,10.1,0,59.5,11,2,1,2,10,Lun,0
1311,refactor,14,28,2,2,8.0,1,98.4,8,2,2,4,12,Ven,0
1312,feature,12,1371,25,6,15.2,1,52.4,36,11,2,7,17,Lun,0
1313,fix,164,90,8,2,10.7,0,95.4,12,3,2,4,15,Lun,0
1314,refactor,37,84,4,1,4.9,0,81.9,60,16,3,3,16,Mar,0
1315,fix,82,240,6,3,5.3,0,70.4,30,5,2,3,12,Mer,0
1316,feature,36,37,3,2,2.0,1,57.7,46,16,0,0,15,Mer,0
1317,feature,134,29,3,1,12.2,0,63.3,65,18,2,6,10,Gio,0
1318,fix,35,16,1,2,4.5,1,82.3,60,14,1,3,14,Mar,0
1319,feature,144,179,9,2,5.7,0,78.1,23,6,2,2,11,Mar,1
1320,feature,462,22,11,4,9.5,1,95.9,5,2,2,4,10,Mer,0
1321,fix,147,57,3,2,12.4,1,56.0,27,9,1,6,20,Ven,1
1322,refactor,150,105,5,2,13.1,1,62.3,48,11,2,6,14,Mer,0
1323,refactor,46,21,1,2,5.5,0,56.8,27,7,2,2,15,Gio,0
1324,fix,14,0,5,2,2.8,0,84.1,87,21,1,3,16,Ven,0
1325,fix,36,33,3,1,4.3,0,88.4,88,17,1,4,15,Mer,0
1326,feature,15,10,3,1,15.1,1,50.5,39,7,2,2,15,Gio,0
1327,feature,48,16,2,2,8.6,1,77.0,62,12,2,3,16,Lun,0
1328,feature,405,25,8,2,23.0,0,46.3,12,2,1,3,9,Mer,1
1329,fix,326,18,6,3,12.8,0,67.4,25,7,1,4,9,Ven,0
1330,refactor,94,9,4,1,14.8,1,73.5,39,12,0,0,12,Mar,0
1331,refactor,71,29,3,1,13.0,0,51.0,32,8,2,1,19,Gio,0
1332,refactor,89,13,3,2,11.8,0,86.1,144,31,1,2,16,Mar,0
1333,refactor,91,83,5,2,19.8,0,73.7,15,4,1,5,9,Lun,0
1334,fix,93,7,6,2,7.4,0,63.9,49,9,3,3,14,Mer,0
1335,feature,149,69,5,1,7.9,1,70.9,57,12,2,5,17,Lun,0
1336,feature,418,37,11,3,28.3,0,53.5,31,9,1,7,19,Lun,0
1337,fix,16,39,3,2,4.8,0,47.4,53,12,2,6,13,Ven,0
1338,feature,6,35,1,1,7.1,0,23.5,30,11,1,0,13,Gio,0
1339,fix,82,105,4,2,2.8,0,69.6,15,2,1,5,14,Mer,0
1340,feature,16,30,2,1,4.9,0,60.3,14,4,1,3,13,Lun,1
1341,fix,42,26,3,1,15.3,1,64.0,38,6,1,5,22,Mar,0
1342,feature,133,823,17,4,16.7,1,58.7,3,1,3,4,18,Mar,0
